,team,player_count,mean_age,foreigner_count,mean_player_market_value,total_market_value
0,Manchester City, ,36,25.3,23,€29.01m
1,€1.04bn,Liverpool FC,43,24.9,28,€22.55m
2,€969.65m,Chelsea FC, ,39,25.7,23
3,€22.80m,€889.20m,Manchester United, ,39,25.4
4,25,€19.74m,€770.05m,Tottenham Hotspur, ,41
5,25.2,23,€17.16m,€703.50m,Arsenal FC,42
6,24.9,27,€14.74m,€619.25m,Everton FC, 
7,44,25.2,27,€11.62m,€511.20m,Leicester City
8, ,40,25.8,27,€12.77m,€510.60m
9,Wolverhampton Wanderers, ,38,24.4,32,€11.85m
10,€450.30m,Aston Villa, ,53,23.9,24
11,€8.13m,€430.70m,West Ham United, ,39,27.0
12,23,€8.59m,€334.90m,Brighton &amp; Hove Albion, ,46
13,24.9,30,€6.31m,€290.40m,Southampton FC, 
14,39,25.0,22,€7.25m,€282.80m,Newcastle United
15, ,33,27.4,19,€7.74m,€255.35m
16,Fulham FC,38,27.0,30,€6.31m,€239.75m
17,Leeds United,39,25.1,24,€6.11m,€238.10m
18,Crystal Palace, ,36,28.2,18,€5.38m
19,€193.85m,Sheffield United, ,40,25.4,16
