,team,player_count,mean_age,foreigner_count,mean_player_market_value,total_market_value
0,Bayern Munich,38,25.2,20,€20.80m,€790.33m
1,Borussia Dortmund,44,24.5,26,€12.70m,€558.98m
2,RB Leipzig,34,24.3,23,€14.68m,€498.95m
3,Bayer 04 Leverkusen,35,25.1,25,€13.00m,€455.05m
4,VfL Wolfsburg,37,25.7,24,€7.28m,€269.30m
5,Borussia Mönchengladbach,31,25.8,14,€7.64m,€236.80m
6,Eintracht Frankfurt,36,25.7,23,€6.35m,€228.75m
7,TSG 1899 Hoffenheim,40,25.3,22,€5.29m,€211.43m
8,SC Freiburg,32,25.5,12,€5.51m,€176.35m
9,VfB Stuttgart,39,24.0,23,€4.47m,€174.23m
10,Hertha BSC,45,25.2,22,€3.46m,€155.78m
11,1.FSV Mainz 05,34,25.5,18,€3.85m,€131.03m
12,1.FC Union Berlin,40,27.1,15,€2.90m,€115.90m
13,1.FC Köln,31,25.8,13,€3.20m,€99.28m
14,FC Augsburg,32,26.0,20,€2.98m,€95.30m
15,Arminia Bielefeld,34,25.1,20,€1.94m,€65.85m
16,VfL Bochum,33,27.7,16,€1.58m,€52.25m
17,SpVgg Greuther Fürth,34,25.1,16,€1.09m,€36.95m
