,team,player_count,mean_age,foreigner_count,mean_player_market_value,total_market_value
0,FC Barcelona,32,25.5,20,€25.42m,€813.50m
1,Real Madrid,37,25.3,17,€21.28m,€787.30m
2,Atlético de Madrid,39,25.4,21,€19.82m,€773.10m
3,Sevilla FC,38,26.2,17,€11.01m,€418.25m
4,Real Sociedad,38,25.1,5,€10.70m,€406.60m
5,Villarreal CF,36,26.4,13,€8.13m,€292.60m
6,Valencia CF,35,25.2,20,€7.97m,€278.85m
7,Real Betis Balompié,33,27.2,12,€6.29m,€207.70m
8,Athletic Bilbao,32,26.4,2,€6.38m,€204.15m
9,Getafe CF,33,25.9,19,€5.15m,€170.10m
10,Celta de Vigo,41,24.8,12,€3.80m,€155.85m
11,Granada CF,44,25.3,17,€2.79m,€122.65m
12,Levante UD,34,27.0,10,€3.32m,€113.00m
13,CA Osasuna,36,27.5,6,€2.69m,€96.75m
14,SD Eibar,34,27.5,9,€2.45m,€83.40m
15,Deportivo Alavés,35,26.1,10,€2.28m,€79.80m
16,SD Huesca,34,26.9,9,€1.89m,€64.10m
17,Real Valladolid CF,41,27.1,9,€1.55m,€63.35m
18,Cádiz CF,41,27.6,16,€1.16m,€47.65m
19,Elche CF,41,27.2,15,€1.11m,€45.65m
