,team,player_count,mean_age,foreigner_count,mean_player_market_value,total_market_value
0,Paris Saint-Germain,24,23.6,15,€36.27m,€870.50m
1,AS Monaco,25,24.4,19,€16.15m,€403.70m
2,LOSC Lille,26,27.1,18,€11.44m,€297.35m
3,Olympique Marseille,27,26.5,22,€10.43m,€281.60m
4,OGC Nice,27,26.1,16,€8.13m,€219.60m
5,Olympique Lyon,23,26.5,16,€9.52m,€218.93m
6,Stade Rennais FC,29,25.4,17,€7.07m,€204.90m
7,RC Strasbourg Alsace,26,22.6,18,€7.49m,€194.65m
8,Stade Brestois 29,26,27.1,10,€4.62m,€120.15m
9,RC Lens,26,26.7,17,€4.57m,€118.90m
10,Stade Reims,25,24.7,18,€4.66m,€116.40m
11,FC Nantes,26,27.0,13,€3.93m,€102.05m
12,FC Toulouse,23,25.4,17,€3.58m,€82.35m
13,Le Havre AC,27,26.3,15,€2.49m,€67.15m
14,AJ Auxerre,28,25.2,17,€2.33m,€65.10m
15,Montpellier HSC,25,26.6,15,€2.50m,€62.55m
16,AS Saint-Étienne,27,26.7,12,€1.95m,€52.70m
17,Angers SCO,28,26.8,16,€1.32m,€36.85m
