,team,player_count,mean_age,foreigner_count,mean_player_market_value,total_market_value
0,Manchester City,36,25.7,21,€40.63m,€1.46bn
1,Arsenal FC,40,24.6,23,€30.08m,€1.20bn
2,Chelsea FC,56,22.2,26,€18.10m,€1.01bn
3,Liverpool FC,45,24.2,30,€21.24m,€955.65m
4,Tottenham Hotspur,41,25.6,27,€20.45m,€838.50m
5,Manchester United,46,24.9,27,€17.57m,€808.35m
6,Aston Villa,45,25.0,23,€15.77m,€709.65m
7,Newcastle United,45,26.3,21,€14.49m,€652.25m
8,Brighton &amp; Hove Albion,49,24.2,32,€10.70m,€524.40m
9,Nottingham Forest,46,26.6,35,€10.90m,€501.35m
10,West Ham United,36,26.6,19,€13.54m,€487.50m
11,Crystal Palace,40,25.1,17,€11.16m,€446.58m
12,Wolverhampton Wanderers,47,23.9,32,€9.42m,€442.73m
13,Brentford FC,42,25.0,29,€10.21m,€429.03m
14,AFC Bournemouth,42,25.7,26,€9.57m,€401.90m
15,Everton FC,34,26.8,16,€11.52m,€391.75m
16,Fulham FC,35,26.9,31,€10.98m,€384.35m
17,Burnley FC,39,25.3,30,€7.01m,€273.48m
18,Sheffield United,45,24.7,26,€3.39m,€152.45m
19,Luton Town,46,25.7,22,€3.06m,€140.90m
