,team,player_count,mean_age,foreigner_count,mean_player_market_value,total_market_value
0,Inter Milan,25,29.3,18,€27.27m,€681.80m
1,Juventus FC,27,25.3,20,€23.90m,€645.20m
2,AC Milan,26,26.2,20,€21.92m,€570.00m
3,Atalanta BC,26,27.6,14,€18.29m,€475.60m
4,SSC Napoli,25,27.9,14,€14.46m,€361.55m
5,AS Roma,26,26.2,18,€10.94m,€284.50m
6,SS Lazio,31,26.3,22,€9.12m,€282.60m
7,ACF Fiorentina,25,25.8,10,€11.23m,€280.80m
8,Bologna FC 1909,28,26.2,19,€8.99m,€251.80m
9,Torino FC,29,26.7,24,€6.40m,€185.70m
10,Parma Calcio 1913,31,24.7,24,€4.87m,€150.98m
11,Genoa CFC,29,26.4,18,€4.97m,€144.15m
12,Udinese Calcio,31,25.7,27,€4.58m,€142.00m
13,Como 1907,32,26.4,23,€4.31m,€137.95m
14,AC Monza,31,26.3,11,€2.97m,€91.98m
15,FC Empoli,28,26.2,16,€3.14m,€88.00m
16,Hellas Verona,32,25.2,24,€2.64m,€84.40m
17,Cagliari Calcio,24,27.0,11,€3.11m,€74.70m
18,US Lecce,34,24.8,29,€2.16m,€73.58m
19,Venezia FC,30,26.1,23,€2.22m,€66.50m
