Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
1.0,Fri,2017-08-18,20:30,Bayern Munich,Leverkusen,2.6,1.6,3–1,75000.0,Tobias Stieler,2017-2018,0
1.0,Sat,2017-08-19,15:30,Hertha BSC,Stuttgart,0.5,1.0,2–0,44751.0,Sascha Stegemann,2017-2018,1
1.0,Sat,2017-08-19,15:30,Mainz 05,Hannover 96,0.7,0.7,0–1,28279.0,Felix Brych,2017-2018,2
1.0,Sat,2017-08-19,15:30,Wolfsburg,Dortmund,0.4,1.0,0–3,30000.0,Robert Hartmann,2017-2018,3
1.0,Sat,2017-08-19,15:30,Hoffenheim,Werder Bremen,1.0,0.9,1–0,30150.0,Guido Winkmann,2017-2018,4
1.0,Sat,2017-08-19,15:30,Hamburger SV,Augsburg,0.5,0.8,1–0,49449.0,Daniel Siebert,2017-2018,5
1.0,Sat,2017-08-19,18:30,Schalke 04,RB Leipzig,1.8,1.0,2–0,61435.0,Felix Zwayer,2017-2018,6
1.0,Sun,2017-08-20,15:30,Freiburg,Eint Frankfurt,0.4,1.3,0–0,24000.0,Manuel Gräfe,2017-2018,7
1.0,Sun,2017-08-20,18:00,Gladbach,Köln,1.5,1.1,1–0,54018.0,Deniz Aytekin,2017-2018,8
2.0,Fri,2017-08-25,20:30,Köln,Hamburger SV,2.1,1.5,1–3,50000.0,Felix Brych,2017-2018,10
2.0,Sat,2017-08-26,15:30,Eint Frankfurt,Wolfsburg,1.0,1.0,0–1,46000.0,Benjamin Cortus,2017-2018,11
2.0,Sat,2017-08-26,15:30,Augsburg,Gladbach,2.7,1.3,2–2,29243.0,Sascha Stegemann,2017-2018,12
2.0,Sat,2017-08-26,15:30,Stuttgart,Mainz 05,1.9,0.9,1–0,53100.0,Benjamin Brand,2017-2018,13
2.0,Sat,2017-08-26,15:30,Leverkusen,Hoffenheim,2.2,0.9,2–2,27106.0,Harm Osmers,2017-2018,14
2.0,Sat,2017-08-26,15:30,Werder Bremen,Bayern Munich,0.3,1.5,0–2,42100.0,Bastian Dankert,2017-2018,15
2.0,Sat,2017-08-26,18:30,Dortmund,Hertha BSC,1.8,0.4,2–0,80860.0,Marco Fritz,2017-2018,16
2.0,Sun,2017-08-27,15:30,RB Leipzig,Freiburg,2.7,0.5,4–1,39265.0,Christian Dingert,2017-2018,17
2.0,Sun,2017-08-27,18:00,Hannover 96,Schalke 04,0.9,0.5,1–0,49000.0,Patrick Ittrich,2017-2018,18
3.0,Fri,2017-09-08,20:30,Hamburger SV,RB Leipzig,1.2,1.8,0–2,50231.0,Deniz Aytekin,2017-2018,20
3.0,Sat,2017-09-09,15:30,Wolfsburg,Hannover 96,1.1,0.9,1–1,27321.0,Felix Zwayer,2017-2018,21
3.0,Sat,2017-09-09,15:30,Mainz 05,Leverkusen,1.2,0.8,3–1,24876.0,Markus Schmidt,2017-2018,22
3.0,Sat,2017-09-09,15:30,Augsburg,Köln,2.3,0.7,3–0,27510.0,Tobias Stieler,2017-2018,23
3.0,Sat,2017-09-09,15:30,Gladbach,Eint Frankfurt,0.9,0.7,0–1,51431.0,Robert Kampka,2017-2018,24
3.0,Sat,2017-09-09,15:30,Freiburg,Dortmund,0.5,1.6,0–0,24000.0,Benjamin Cortus,2017-2018,25
3.0,Sat,2017-09-09,18:30,Hoffenheim,Bayern Munich,0.6,1.9,2–0,30150.0,Daniel Siebert,2017-2018,26
3.0,Sun,2017-09-10,15:30,Hertha BSC,Werder Bremen,0.3,0.6,1–1,49118.0,Bibiana Steinhaus,2017-2018,27
3.0,Sun,2017-09-10,18:00,Schalke 04,Stuttgart,2.0,1.3,3–1,61098.0,Frank Willenborg,2017-2018,28
4.0,Fri,2017-09-15,20:30,Hannover 96,Hamburger SV,2.0,0.7,2–0,49000.0,Robert Hartmann,2017-2018,30
4.0,Sat,2017-09-16,15:30,Stuttgart,Wolfsburg,1.0,0.5,1–0,50500.0,Guido Winkmann,2017-2018,31
4.0,Sat,2017-09-16,15:30,Bayern Munich,Mainz 05,3.8,0.8,4–0,75000.0,Sascha Stegemann,2017-2018,32
4.0,Sat,2017-09-16,15:30,Eint Frankfurt,Augsburg,1.5,0.7,1–2,46500.0,Christian Dingert,2017-2018,33
4.0,Sat,2017-09-16,15:30,Werder Bremen,Schalke 04,0.9,0.9,1–2,42100.0,Benjamin Brand,2017-2018,34
4.0,Sat,2017-09-16,18:30,RB Leipzig,Gladbach,0.7,1.5,2–2,42558.0,Marco Fritz,2017-2018,35
4.0,Sun,2017-09-17,13:30,Hoffenheim,Hertha BSC,0.5,0.6,1–1,27243.0,Markus Schmidt,2017-2018,36
4.0,Sun,2017-09-17,15:30,Leverkusen,Freiburg,1.9,0.5,4–0,26232.0,Sven Jablonski,2017-2018,37
4.0,Sun,2017-09-17,18:00,Dortmund,Köln,3.5,0.7,5–0,81000.0,Patrick Ittrich,2017-2018,38
5.0,Tue,2017-09-19,18:30,Gladbach,Stuttgart,1.1,0.6,2–0,44063.0,Sören Storks,2017-2018,40
5.0,Tue,2017-09-19,20:30,Schalke 04,Bayern Munich,1.2,2.3,0–3,62271.0,Marco Fritz,2017-2018,41
5.0,Tue,2017-09-19,20:30,Augsburg,RB Leipzig,1.2,1.1,1–0,26113.0,Daniel Siebert,2017-2018,42
5.0,Tue,2017-09-19,20:30,Wolfsburg,Werder Bremen,1.0,0.9,1–1,26174.0,Felix Brych,2017-2018,43
5.0,Wed,2017-09-20,18:30,Köln,Eint Frankfurt,2.1,1.2,0–1,49000.0,Martin Petersen,2017-2018,44
5.0,Wed,2017-09-20,20:30,Freiburg,Hannover 96,2.9,1.1,1–1,22900.0,Tobias Stieler,2017-2018,45
5.0,Wed,2017-09-20,20:30,Hamburger SV,Dortmund,0.3,3.2,0–3,52962.0,Felix Zwayer,2017-2018,46
5.0,Wed,2017-09-20,20:30,Mainz 05,Hoffenheim,1.9,1.4,2–3,23477.0,Manuel Gräfe,2017-2018,47
5.0,Wed,2017-09-20,20:30,Hertha BSC,Leverkusen,0.3,0.5,2–1,32825.0,Deniz Aytekin,2017-2018,48
6.0,Fri,2017-09-22,20:30,Bayern Munich,Wolfsburg,2.4,0.8,2–2,75000.0,Christian Dingert,2017-2018,50
6.0,Sat,2017-09-23,15:30,Werder Bremen,Freiburg,1.4,0.9,0–0,41000.0,Robert Hartmann,2017-2018,51
6.0,Sat,2017-09-23,15:30,Hoffenheim,Schalke 04,1.5,1.3,2–0,30150.0,Sascha Stegemann,2017-2018,52
6.0,Sat,2017-09-23,15:30,Mainz 05,Hertha BSC,1.1,0.6,1–0,23517.0,Tobias Stieler,2017-2018,53
6.0,Sat,2017-09-23,15:30,Stuttgart,Augsburg,0.7,0.4,0–0,55202.0,Harm Osmers,2017-2018,54
6.0,Sat,2017-09-23,15:30,RB Leipzig,Eint Frankfurt,1.6,0.8,2–1,40606.0,Benjamin Brand,2017-2018,55
6.0,Sat,2017-09-23,18:30,Dortmund,Gladbach,4.2,1.4,6–1,81360.0,Manuel Gräfe,2017-2018,56
6.0,Sun,2017-09-24,15:30,Hannover 96,Köln,1.7,1.0,0–0,47000.0,Daniel Siebert,2017-2018,57
6.0,Sun,2017-09-24,18:00,Leverkusen,Hamburger SV,2.4,0.6,3–0,27601.0,Robert Kampka,2017-2018,58
7.0,Fri,2017-09-29,20:30,Schalke 04,Leverkusen,0.8,1.0,1–1,61515.0,Guido Winkmann,2017-2018,60
7.0,Sat,2017-09-30,15:30,Wolfsburg,Mainz 05,0.9,1.1,1–1,24352.0,Robert Hartmann,2017-2018,61
7.0,Sat,2017-09-30,15:30,Gladbach,Hannover 96,2.5,1.7,2–1,50542.0,Christian Dingert,2017-2018,62
7.0,Sat,2017-09-30,15:30,Augsburg,Dortmund,1.5,2.0,1–2,30660.0,Marco Fritz,2017-2018,63
7.0,Sat,2017-09-30,15:30,Eint Frankfurt,Stuttgart,1.2,1.0,2–1,51500.0,Felix Brych,2017-2018,64
7.0,Sat,2017-09-30,18:30,Hamburger SV,Werder Bremen,1.0,0.5,0–0,54613.0,Deniz Aytekin,2017-2018,65
7.0,Sun,2017-10-01,13:30,Freiburg,Hoffenheim,1.2,0.8,3–2,24000.0,Daniel Siebert,2017-2018,66
7.0,Sun,2017-10-01,15:30,Hertha BSC,Bayern Munich,1.4,1.3,2–2,71212.0,Harm Osmers,2017-2018,67
7.0,Sun,2017-10-01,18:00,Köln,RB Leipzig,1.2,2.7,1–2,48700.0,Felix Zwayer,2017-2018,68
8.0,Fri,2017-10-13,20:30,Stuttgart,Köln,2.3,2.1,2–1,58716.0,Benjamin Cortus,2017-2018,70
8.0,Sat,2017-10-14,15:30,Bayern Munich,Freiburg,1.6,0.6,5–0,75000.0,Frank Willenborg,2017-2018,71
8.0,Sat,2017-10-14,15:30,Hertha BSC,Schalke 04,0.0,1.7,0–2,50590.0,Benjamin Brand,2017-2018,72
8.0,Sat,2017-10-14,15:30,Hannover 96,Eint Frankfurt,0.7,1.0,1–2,43500.0,Bastian Dankert,2017-2018,73
8.0,Sat,2017-10-14,15:30,Hoffenheim,Augsburg,1.8,0.9,2–2,27014.0,Manuel Gräfe,2017-2018,74
8.0,Sat,2017-10-14,15:30,Mainz 05,Hamburger SV,1.2,2.2,3–2,30371.0,Felix Brych,2017-2018,75
8.0,Sat,2017-10-14,18:30,Dortmund,RB Leipzig,2.2,2.3,2–3,80100.0,Deniz Aytekin,2017-2018,76
8.0,Sun,2017-10-15,15:30,Leverkusen,Wolfsburg,2.3,1.0,2–2,29104.0,Patrick Ittrich,2017-2018,77
8.0,Sun,2017-10-15,18:00,Werder Bremen,Gladbach,1.5,1.4,0–2,42100.0,Markus Schmidt,2017-2018,78
9.0,Fri,2017-10-20,20:30,Schalke 04,Mainz 05,1.8,0.6,2–0,59476.0,Bibiana Steinhaus,2017-2018,80
9.0,Sat,2017-10-21,15:30,Eint Frankfurt,Dortmund,2.3,2.4,2–2,51500.0,Robert Hartmann,2017-2018,81
9.0,Sat,2017-10-21,15:30,Augsburg,Hannover 96,1.0,1.2,1–2,25971.0,Sascha Stegemann,2017-2018,82
9.0,Sat,2017-10-21,15:30,RB Leipzig,Stuttgart,1.1,0.8,1–0,42558.0,Sven Jablonski,2017-2018,83
9.0,Sat,2017-10-21,15:30,Gladbach,Leverkusen,2.3,1.7,1–5,53053.0,Bastian Dankert,2017-2018,84
