,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Manuel Neuer,Vedad Ibišević,(4-3-3),(3-4-1-2),70%,30%,625 of 734 — 85%,70% — 219 of 311,6 of 16 — 38%,50% — 3 of 6,1 of 3 — 33%,83% — 5 of 6,3.0,0,3.0,0,6,18,12,0,34,8,822,435,7,14,5,12,12,12,6,43,2,0,6,7,31,16,58,66
0,Lars Bender,Christian Strohdiek,(3-4-3),(4-4-2),73%,27%,698 of 824 — 85%,64% — 194 of 305,4 of 13 — 31%,56% — 5 of 9,3 of 5 — 60%,25% — 1 of 4,2.0,0,0.0,0,8,13,6,6,20,11,936,454,18,19,10,19,15,12,17,34,3,0,7,9,34,23,92,56
0,Niklas Moisander,Rouwen Hennings,(4-3-3),(4-2-3-1),67%,33%,591 of 700 — 84%,73% — 257 of 350,10 of 24 — 42%,58% — 7 of 12,4 of 7 — 57%,90% — 9 of 10,0.0,0,2.0,0,9,13,14,5,34,21,803,478,9,16,5,11,19,14,18,30,2,1,8,7,21,13,59,78
0,Christian Günter,Danny Latza,(3-4-1-2),(4-3-1-2),53%,47%,351 of 459 — 76%,74% — 300 of 403,7 of 18 — 39%,26% — 5 of 19,5 of 5 — 100%,71% — 5 of 7,1.0,0,3.0,0,6,14,5,5,22,12,573,521,14,16,5,9,25,15,17,20,0,2,9,14,27,12,73,70
0,Marco Reus,Daniel Baier,(4-2-3-1),(4-2-3-1),78%,22%,857 of 938 — 91%,72% — 194 of 268,9 of 22 — 41%,20% — 1 of 5,0 of 1 — 0%,44% — 4 of 9,0.0,0,0.0,0,8,7,10,0,21,5,1044,397,13,28,7,16,10,7,6,22,0,0,4,16,30,15,62,59
0,Josuha Guilavogui,Jonas Hector,(3-4-3),(4-2-3-1),47%,53%,312 of 424 — 74%,74% — 353 of 479,5 of 15 — 33%,18% — 2 of 11,1 of 2 — 50%,60% — 3 of 5,1.0,0,3.0,0,15,18,2,6,12,24,567,603,17,22,9,11,19,18,34,20,3,1,7,5,25,32,66,94
0,Yann Sommer,Alexander Nübel,(4-1-2-1-2),(4-2-3-1),60%,40%,450 of 574 — 78%,71% — 275 of 390,4 of 16 — 25%,13% — 1 of 8,1 of 1 — 100%,100% — 4 of 4,3.0,0,2.0,0,10,11,8,3,17,10,688,512,20,23,14,21,12,23,13,22,1,2,6,8,30,22,50,73
0,David Abraham,Kevin Vogt,(3-4-3),(3-4-3),33%,67%,188 of 303 — 62%,81% — 492 of 607,7 of 15 — 47%,11% — 1 of 9,1 of 1 — 100%,85% — 6 of 7,3.0,0,1.0,0,19,9,10,5,22,14,432,731,21,15,7,9,15,23,19,15,2,4,6,7,28,16,77,63
0,Christopher Trimmel,Willi Orban,(4-2-3-1),(3-4-3),36%,64%,255 of 371 — 69%,85% — 549 of 649,2 of 13 — 15%,57% — 8 of 14,4 of 8 — 50%,100% — 2 of 2,1.0,0,0.0,0,14,7,3,6,17,9,489,784,15,14,16,13,18,17,14,34,3,1,7,7,21,25,68,55
0,Jonas Hector,Marco Reus,(4-4-2),(4-2-3-1),27%,73%,168 of 268 — 63%,87% — 631 of 729,1 of 13 — 8%,43% — 6 of 14,3 of 6 — 50%,0% — 0 of 1,2.0,0,1.0,0,12,11,7,8,16,14,390,829,23,18,13,11,11,15,22,16,2,1,6,5,17,31,69,49
0,Kevin Vogt,Niklas Moisander,(3-4-3),(3-4-3),54%,46%,455 of 551 — 83%,76% — 353 of 465,3 of 10 — 30%,28% — 5 of 18,3 of 5 — 60%,0% — 0 of 3,2.0,0,6.5,0,14,17,3,6,12,14,657,541,11,13,11,6,25,23,17,14,5,1,5,6,20,24,49,76
0,Rouwen Hennings,Lars Bender,(4-2-2-2),(4-1-4-1),32%,68%,241 of 330 — 73%,86% — 597 of 691,6 of 12 — 50%,50% — 6 of 12,4 of 6 — 66%,83% — 5 of 6,3.0,0,2.0,0,15,11,1,5,9,12,425,783,17,23,10,10,8,15,5,5,1,1,12,5,20,26,70,60
0,Danny Latza,Yann Sommer,(4-3-1-2),(4-3-1-2),48%,52%,326 of 424 — 77%,78% — 358 of 461,4 of 20 — 20%,40% — 6 of 15,3 of 6 — 50%,75% — 3 of 4,2.0,0,2.0,0,13,15,3,5,23,13,567,584,22,18,13,9,26,21,22,18,1,0,3,14,19,21,76,73
0,Daniel Baier,Christopher Trimmel,(4-2-3-1),(4-4-2),54%,46%,294 of 433 — 68%,65% — 237 of 364,4 of 12 — 33%,18% — 2 of 11,1 of 2 — 50%,75% — 3 of 4,3.0,0,1.0,1,17,19,3,4,19,18,530,458,14,10,16,12,23,31,17,22,3,2,8,13,24,17,80,89
0,Christian Strohdiek,Christian Günter,(4-4-2),(3-4-1-2),54%,46%,345 of 443 — 78%,71% — 268 of 377,2 of 16 — 13%,38% — 3 of 8,1 of 3 — 33%,50% — 1 of 2,3.0,0,1.0,0,21,6,9,5,18,12,560,479,19,19,9,10,13,15,18,21,3,1,5,11,17,23,68,81
0,Alexander Nübel,Manuel Neuer,(4-3-3),(4-3-3),34%,66%,301 of 388 — 78%,87% — 652 of 751,2 of 11 — 18%,56% — 5 of 9,3 of 5 — 60%,100% — 2 of 2,0.0,0,0.0,0,11,10,3,4,13,17,499,836,19,8,17,10,9,14,24,17,2,1,6,9,16,23,45,71
0,Willi Orban,David Abraham,(3-4-3),(3-4-1-2),44%,56%,346 of 452 — 77%,81% — 463 of 572,5 of 12 — 42%,50% — 5 of 10,4 of 5 — 80%,60% — 3 of 5,2.0,0,3.0,0,10,15,4,1,8,15,565,669,24,14,12,7,12,9,17,10,1,3,8,6,29,26,67,87
0,Vedad Ibišević,Josuha Guilavogui,(4-3-3),(3-4-3),56%,44%,424 of 543 — 78%,72% — 300 of 419,2 of 9 — 22%,33% — 3 of 9,1 of 3 — 33%,100% — 2 of 2,1.0,0,0.0,0,15,12,2,5,16,11,635,524,15,21,7,13,14,18,11,16,1,5,5,11,25,19,78,74
0,Yann Sommer,Willi Orban,(4-2-3-1),(4-4-2),49%,51%,407 of 516 — 79%,80% — 431 of 537,3 of 12 — 25%,43% — 6 of 14,3 of 6 — 50%,66% — 2 of 3,3.0,0,2.0,0,18,19,9,5,27,17,616,660,12,18,13,11,13,10,14,28,4,3,10,8,14,9,58,71
0,Alexander Nübel,Vedad Ibišević,(4-2-3-1),(4-2-3-1),57%,43%,469 of 564 — 83%,82% — 346 of 422,2 of 9 — 22%,30% — 3 of 10,3 of 3 — 100%,50% — 1 of 2,1.0,0,1.0,0,15,10,5,3,14,11,653,532,14,13,3,8,8,14,9,23,1,4,11,5,17,15,71,56
0,Christian Günter,Jonas Hector,(4-2-2-2),(4-1-3-2),53%,47%,339 of 452 — 75%,73% — 287 of 394,1 of 15 — 7%,30% — 3 of 10,1 of 3 — 33%,100% — 1 of 1,0.0,0,2.0,0,6,15,5,6,21,20,544,517,12,21,3,13,23,27,16,24,1,0,12,9,34,19,75,109
0,Manuel Neuer,Danny Latza,(4-2-3-1),(4-2-3-1),67%,33%,614 of 715 — 86%,77% — 273 of 355,9 of 18 — 50%,57% — 4 of 7,3 of 4 — 75%,33% — 3 of 9,3.0,0,3.0,0,16,13,10,1,28,5,821,464,15,14,12,16,15,16,8,26,1,0,3,14,19,19,69,41
0,Josuha Guilavogui,Christian Strohdiek,(3-4-3),(4-4-2),62%,38%,469 of 597 — 79%,70% — 258 of 371,4 of 16 — 25%,38% — 3 of 8,2 of 3 — 66%,75% — 3 of 4,0.0,0,3.0,0,8,15,8,3,25,6,715,514,23,18,15,16,12,16,13,30,2,2,6,9,33,36,67,77
0,Lars Bender,Kevin Vogt,(4-1-4-1),(4-2-3-1),74%,26%,583 of 715 — 82%,60% — 150 of 249,2 of 20 — 10%,17% — 1 of 6,1 of 1 — 100%,100% — 2 of 2,2.0,0,2.0,0,9,12,19,0,46,4,814,388,10,18,7,6,17,21,10,54,4,4,7,11,28,21,85,71
0,Christopher Trimmel,Marco Reus,(4-4-2),(4-2-3-1),27%,73%,183 of 294 — 62%,86% — 689 of 801,7 of 15 — 47%,15% — 2 of 13,1 of 2 — 50%,57% — 4 of 7,0.0,0,0.0,0,13,2,7,4,14,16,398,899,9,8,13,9,15,24,25,19,2,2,15,8,22,15,78,75
0,Niklas Moisander,Daniel Baier,(4-1-2-1-2),(4-4-2),66%,34%,509 of 629 — 81%,68% — 217 of 319,5 of 15 — 33%,50% — 6 of 12,4 of 6 — 66%,40% — 2 of 5,1.0,0,5.5,0,10,14,4,2,27,11,716,419,14,12,4,8,20,17,13,25,0,1,5,15,29,19,84,70
0,David Abraham,Oliver Fink,(3-4-1-2),(4-3-3),58%,42%,403 of 522 — 77%,64% — 238 of 371,8 of 14 — 57%,29% — 4 of 14,3 of 4 — 75%,75% — 6 of 8,2.0,0,4.0,0,14,16,4,1,22,15,641,485,11,17,7,11,29,28,16,14,1,3,7,8,24,23,80,95
0,Oliver Fink,Josuha Guilavogui,(4-4-2),(3-4-3),42%,58%,278 of 389 — 71%,79% — 428 of 541,3 of 12 — 25%,40% — 6 of 15,5 of 6 — 83%,66% — 2 of 3,0.0,0,2.0,0,7,15,3,8,12,25,518,668,22,22,8,8,20,10,25,20,1,1,5,8,20,26,102,81
0,Marco Reus,Lars Bender,(4-2-3-1),(4-2-3-1),33%,67%,277 of 373 — 74%,85% — 636 of 747,7 of 9 — 78%,17% — 2 of 12,2 of 2 — 100%,42% — 3 of 7,0.0,0,3.0,0,9,13,3,3,9,12,495,850,18,16,22,8,5,13,17,11,3,5,10,5,12,31,63,61
0,Alfreð Finnbogason,David Abraham,(4-4-2),(3-1-4-2),31%,69%,171 of 274 — 62%,77% — 470 of 613,5 of 8 — 63%,14% — 3 of 22,2 of 3 — 66%,60% — 3 of 5,2.0,0,1.0,0,8,9,2,11,6,41,429,706,16,15,17,7,16,24,50,3,2,4,15,1,22,41,64,90
