Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
1.0,Sat,2020-09-19,15:30,Union Berlin,Augsburg,1.2,1.5,1–3,4600.0,Marco Fritz,2020-2021,2
1.0,Sat,2020-09-19,15:30,Stuttgart,Freiburg,2.6,1.9,2–3,7123.0,Benjamin Cortus,2020-2021,3
1.0,Sat,2020-09-19,15:30,Werder Bremen,Hertha BSC,0.7,1.8,1–4,8400.0,Sascha Stegemann,2020-2021,4
1.0,Sat,2020-09-19,15:30,Eint Frankfurt,Arminia,2.3,0.8,1–1,6500.0,Benjamin Brand,2020-2021,5
1.0,Sat,2020-09-19,18:30,Dortmund,Gladbach,1.8,0.6,3–0,9300.0,Felix Brych,2020-2021,6
1.0,Sun,2020-09-20,15:30,RB Leipzig,Mainz 05,2.8,1.2,3–1,8500.0,Manuel Gräfe,2020-2021,7
2.0,Fri,2020-09-25,20:30,Hertha BSC,Eint Frankfurt,1.2,1.5,1–3,4000.0,Bastian Dankert,2020-2021,10
2.0,Sat,2020-09-26,15:30,Augsburg,Dortmund,1.2,1.8,2–0,6000.0,Martin Petersen,2020-2021,11
2.0,Sat,2020-09-26,15:30,Leverkusen,RB Leipzig,0.9,0.9,1–1,6042.0,Harm Osmers,2020-2021,12
2.0,Sat,2020-09-26,15:30,Gladbach,Union Berlin,1.8,0.8,1–1,10383.0,Tobias Stieler,2020-2021,13
2.0,Sat,2020-09-26,15:30,Mainz 05,Stuttgart,1.3,2.6,1–4,3403.0,Daniel Schlager,2020-2021,14
2.0,Sat,2020-09-26,15:30,Arminia,Köln,0.2,1.4,1–0,5460.0,Patrick Ittrich,2020-2021,15
2.0,Sun,2020-09-27,18:00,Freiburg,Wolfsburg,1.3,0.5,1–1,3200.0,Sören Storks,2020-2021,18
3.0,Fri,2020-10-02,20:30,Union Berlin,Mainz 05,2.5,0.3,4–0,4400.0,Sascha Stegemann,2020-2021,20
3.0,Sat,2020-10-03,15:30,Stuttgart,Leverkusen,0.8,1.5,1–1,9500.0,Robert Hartmann,2020-2021,21
3.0,Sat,2020-10-03,15:30,Dortmund,Freiburg,2.5,0.5,4–0,11500.0,Guido Winkmann,2020-2021,22
3.0,Sat,2020-10-03,15:30,Köln,Gladbach,0.6,2.1,1–3,300.0,Marco Fritz,2020-2021,23
3.0,Sat,2020-10-03,15:30,Werder Bremen,Arminia,0.4,1.1,1–0,300.0,Robert Schröder,2020-2021,24
3.0,Sat,2020-10-03,15:30,Eint Frankfurt,Hoffenheim,2.9,1.4,2–1,8000.0,Manuel Gräfe,2020-2021,25
3.0,Sat,2020-10-03,18:30,RB Leipzig,Schalke 04,3.9,0.2,4–0,8500.0,Florian Badstübner,2020-2021,26
3.0,Sun,2020-10-04,15:30,Wolfsburg,Augsburg,1.0,1.2,0–0,4632.0,Felix Zwayer,2020-2021,27
4.0,Sat,2020-10-17,15:30,Hoffenheim,Dortmund,1.2,2.0,0–1,6030.0,Sascha Stegemann,2020-2021,32
4.0,Sat,2020-10-17,15:30,Hertha BSC,Stuttgart,1.1,1.3,0–2,4000.0,Harm Osmers,2020-2021,33
4.0,Sat,2020-10-17,15:30,Mainz 05,Leverkusen,0.3,0.5,0–1,250.0,Bastian Dankert,2020-2021,34
4.0,Sat,2020-10-17,20:30,Gladbach,Wolfsburg,1.9,1.4,1–1,300.0,Daniel Schlager,2020-2021,36
4.0,Sun,2020-10-18,15:30,Köln,Eint Frankfurt,1.4,1.9,1–1,300.0,Sven Jablonski,2020-2021,37
4.0,Sun,2020-10-18,18:00,Schalke 04,Union Berlin,0.4,1.0,1–1,300.0,Patrick Ittrich,2020-2021,38
5.0,Sat,2020-10-24,15:30,Mainz 05,Gladbach,1.9,3.0,2–3,100.0,Frank Willenborg,2020-2021,41
5.0,Sat,2020-10-24,15:30,Union Berlin,Freiburg,1.6,0.3,1–1,4500.0,Robert Schröder,2020-2021,42
5.0,Sat,2020-10-24,15:30,RB Leipzig,Hertha BSC,2.7,0.8,2–1,999.0,Tobias Stieler,2020-2021,44
5.0,Sat,2020-10-24,18:30,Dortmund,Schalke 04,1.4,0.2,3–0,300.0,Felix Zwayer,2020-2021,45
5.0,Sun,2020-10-25,15:30,Wolfsburg,Arminia,2.2,0.5,2–1,4519.0,Manuel Gräfe,2020-2021,46
34.0,Sat,2021-05-22,15:30,Union Berlin,RB Leipzig,1.1,2.6,2–1,2000.0,Guido Winkmann,2020-2021,336
34.0,Sat,2021-05-22,15:30,Werder Bremen,Gladbach,1.9,1.8,2–4,100.0,Felix Brych,2020-2021,338
34.0,Sat,2021-05-22,15:30,Bayern Munich,Augsburg,4.4,2.0,5–2,250.0,Markus Schmidt,2020-2021,339
34.0,Sat,2021-05-22,15:30,Hoffenheim,Hertha BSC,2.4,1.6,2–1,100.0,Frank Willenborg,2020-2021,341
