Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
1.0,Fri,2022-08-05,20:30,Eint Frankfurt,Bayern Munich,0.9,4.0,1–6,51500.0,Deniz Aytekin,2022-2023,Sebastian Rode,Manuel Neuer,(3-4-3),(4-4-2),37%,63%,292 of 396 — 74%,87% — 572 of 661,2 of 8 — 25%,43% — 10 of 23,4 of 10 — 40%,50% — 1 of 2,2.0,0.0,0.0,0.0,10,11,5,6,15,14,501,784,16,20,17,11,6,3,15,16,4,3,9,4,15,11,56,57
1.0,Sat,2022-08-06,15:30,Augsburg,Freiburg,0.7,1.2,0–4,25310.0,Bastian Dankert,2022-2023,Jeffrey Gouweleeuw,Christian Günter,(3-1-4-2),(4-2-3-1),53%,47%,316 of 410 — 77%,70% — 258 of 370,2 of 11 — 18%,39% — 7 of 18,3 of 7 — 42%,100% — 2 of 2,0.0,0.0,0.0,0.0,13,13,5,8,9,15,521,471,14,12,10,9,18,32,23,16,0,2,7,5,19,20,81,71
1.0,Sat,2022-08-06,15:30,Wolfsburg,Werder Bremen,1.0,0.8,2–2,28015.0,Sascha Stegemann,2022-2023,Maximilian Arnold,Marco Friedl,(4-2-3-1),(3-5-2),61%,39%,465 of 604 — 77%,66% — 249 of 380,3 of 11 — 27%,40% — 4 of 10,2 of 4 — 50%,33% — 1 of 3,2.0,0.0,2.0,0.0,11,14,2,5,16,12,717,515,15,16,11,29,13,20,13,20,1,4,4,11,37,17,79,81
1.0,Sat,2022-08-06,15:30,Bochum,Mainz 05,0.9,1.4,1–2,24110.0,Felix Zwayer,2022-2023,Anthony Losilla,Robin Zentner,(4-2-3-1),(5-4-1),59%,41%,452 of 584 — 77%,66% — 267 of 405,3 of 16 — 19%,46% — 6 of 13,4 of 6 — 66%,66% — 2 of 3,2.0,0.0,3.0,0.0,11,16,3,5,24,19,693,518,19,14,8,13,17,24,16,20,1,1,8,10,17,27,109,86
1.0,Sat,2022-08-06,15:30,Gladbach,Hoffenheim,1.9,0.1,3–1,49659.0,Daniel Siebert,2022-2023,Yann Sommer,Oliver Baumann,(4-2-3-1),(3-5-2),61%,39%,559 of 652 — 86%,76% — 309 of 409,7 of 18 — 39%,50% — 1 of 2,0 of 1 — 0%,57% — 4 of 7,1.0,0.0,5.5,0.0,18,12,5,1,21,9,737,494,7,11,9,5,8,9,9,17,2,2,2,8,16,13,44,56
1.0,Sat,2022-08-06,15:30,Union Berlin,Hertha BSC,1.0,0.3,3–1,22012.0,Marco Fritz,2022-2023,Christopher Trimmel,Marvin Plattenhardt,(3-5-2),(4-3-3),49%,51%,300 of 409 — 73%,76% — 330 of 433,8 of 19 — 42%,43% — 3 of 7,2 of 3 — 66%,62% — 5 of 8,2.0,0.0,3.0,0.0,23,17,5,4,23,16,514,540,23,11,10,5,28,16,22,24,2,1,5,7,28,24,89,69
1.0,Sat,2022-08-06,18:30,Dortmund,Leverkusen,1.8,1.3,1–0,81365.0,Felix Brych,2022-2023,Marco Reus,Lukáš Hrádecký,(4-3-3),(4-2-3-1),45%,55%,324 of 439 — 74%,78% — 415 of 532,4 of 14 — 29%,38% — 3 of 8,3 of 3 — 100%,75% — 3 of 4,2.0,0.0,4.0,1.0,13,13,3,3,12,16,569,657,25,23,14,11,13,6,20,12,2,4,7,13,22,24,64,43
1.0,Sun,2022-08-07,15:30,Stuttgart,RB Leipzig,0.8,1.6,1–1,46000.0,Tobias Stieler,2022-2023,Wataru Endo,Péter Gulácsi,(3-5-2),(3-4-1-2),33%,67%,217 of 307 — 71%,81% — 513 of 635,2 of 11 — 18%,32% — 9 of 28,8 of 9 — 88%,50% — 1 of 2,2.0,0.0,1.0,0.0,14,9,1,9,4,29,457,746,27,19,14,8,15,14,31,9,1,2,10,7,18,21,73,56
1.0,Sun,2022-08-07,17:30,Köln,Schalke 04,4.1,0.2,3–1,50000.0,Robert Schröder,2022-2023,Jonas Hector,Maya Yoshida,(4-1-3-2),(4-1-4-1),75%,25%,569 of 676 — 84%,60% — 137 of 230,10 of 32 — 31%,40% — 2 of 5,1 of 2 — 50%,70% — 7 of 10,0.0,0.0,1.0,1.0,8,10,9,1,38,8,799,373,20,9,12,15,24,10,17,35,2,1,3,13,24,13,78,62
2.0,Fri,2022-08-12,20:30,Freiburg,Dortmund,1.0,1.1,1–3,34700.0,Tobias Welz,2022-2023,Christian Günter,Marco Reus,(4-2-3-1),(4-2-3-1),39%,61%,245 of 358 — 68%,82% — 451 of 550,7 of 16 — 44%,46% — 6 of 13,3 of 6 — 50%,85% — 6 of 7,1.0,0.0,3.0,0.0,16,10,9,2,29,15,458,662,17,16,11,10,20,23,16,26,3,2,10,6,21,19,86,58
