Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season
1.0,Sat,2020-09-12,16:00,Eibar,Celta Vigo,0.4,0.6,0–0,,Valentín Pizarro,2020-2021
1.0,Sat,2020-09-12,18:30,Granada,Athletic Club,0.4,0.5,2–0,,Antonio Matéu Lahoz,2020-2021
1.0,Sat,2020-09-12,21:00,Cádiz,Osasuna,0.7,0.8,0–2,,Isidro Díaz de Mera,2020-2021
1.0,Sun,2020-09-13,14:00,Alavés,Betis,1.2,0.4,0–1,,Pablo González,2020-2021
1.0,Sun,2020-09-13,16:00,Valladolid,Real Sociedad,0.8,0.3,1–1,,Mario Melero,2020-2021
1.0,Sun,2020-09-13,18:30,Villarreal,Huesca,2.5,0.6,1–1,,Daniel Ask,2020-2021
1.0,Sun,2020-09-13,21:00,Valencia,Levante,1.9,2.0,4–2,,José Sánchez,2020-2021
2.0,Sat,2020-09-19,16:00,Villarreal,Eibar,2.7,1.5,2–1,,Jorge Figueroa,2020-2021
2.0,Sat,2020-09-19,18:30,Getafe,Osasuna,0.6,0.5,1–0,,Alejandro Hernández,2020-2021
2.0,Sat,2020-09-19,21:00,Celta Vigo,Valencia,2.0,0.5,2–1,,Jesús Gil,2020-2021
2.0,Sun,2020-09-20,16:00,Huesca,Cádiz,0.3,1.2,0–2,,César Soto,2020-2021
2.0,Sun,2020-09-20,18:30,Granada,Alavés,2.2,0.7,2–1,,Carlos del Cerro,2020-2021
2.0,Sun,2020-09-20,18:30,Betis,Valladolid,1.6,0.4,2–0,,Santiago Jaime,2020-2021
2.0,Sun,2020-09-20,21:00,Real Sociedad,Real Madrid,0.6,0.9,0–0,,Juan Martínez,2020-2021
3.0,Sat,2020-09-26,13:00,Alavés,Getafe,1.3,1.1,0–0,,Hsu Jason,2020-2021
3.0,Sat,2020-09-26,16:00,Valencia,Huesca,0.6,0.9,1–1,,José Luis Munuera,2020-2021
3.0,Sat,2020-09-26,18:30,Elche,Real Sociedad,1.0,3.1,0–3,,Isidro Díaz de Mera,2020-2021
3.0,Sat,2020-09-26,21:00,Betis,Real Madrid,1.2,3.8,2–3,,Ricardo de Burgos,2020-2021
3.0,Sun,2020-09-27,12:00,Osasuna,Levante,0.7,3.1,1–3,,Mario Melero,2020-2021
3.0,Sun,2020-09-27,14:00,Eibar,Athletic Club,0.6,0.6,1–2,,Adrián Cordero,2020-2021
3.0,Sun,2020-09-27,16:00,Atlético Madrid,Granada,3.3,1.6,6–1,,Daniel Ask,2020-2021
3.0,Sun,2020-09-27,18:30,Valladolid,Celta Vigo,1.5,1.3,1–1,,José Sánchez,2020-2021
3.0,Sun,2020-09-27,18:30,Cádiz,Sevilla,1.1,2.4,1–3,,David Medié,2020-2021
3.0,Sun,2020-09-27,21:00,Barcelona,Villarreal,2.6,0.2,4–0,,Guillermo Cuadra,2020-2021
