Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
1.0,Fri,2021-08-13,21:00,Valencia,Getafe,1.5,1.4,1–0,9868.0,Jesús Gil,2021-2022,José Luis Gayà,Djené,(4-4-2),(5-3-2),27%,73%,130 of 201 — 65%,83% — 446 of 537,1 of 3 — 33%,18% — 4 of 22,4 of 4 — 100%,100% — 1 of 1,6.0,1,4.5,0,24,15,1,9,7,32,301,610,7,5,12,3,20,8,30,6,2,2,14,2,14,20,63,66
1.0,Sat,2021-08-14,19:30,Cádiz,Levante,0.6,0.9,1–1,6941.0,Santiago Jaime,2021-2022,Salvi,José Luis Morales,(4-2-3-1),(4-4-2),43%,57%,248 of 355 — 70%,81% — 376 of 464,2 of 7 — 29%,25% — 3 of 12,2 of 3 — 66%,50% — 1 of 2,1.0,0,5.0,0,10,16,2,4,19,19,430,561,14,11,11,12,20,13,17,14,1,1,18,14,18,19,79,61
1.0,Sat,2021-08-14,19:30,Mallorca,Betis,0.5,0.6,1–1,6279.0,Antonio Matéu Lahoz,2021-2022,Manolo Reina,Sergio Canales,(4-3-3),(4-2-3-1),35%,65%,240 of 324 — 74%,87% — 521 of 601,2 of 6 — 33%,0% — 0 of 9,0 of 0 — %,50% — 1 of 2,1.0,0,3.0,0,12,18,3,3,13,18,413,689,17,11,6,10,10,11,18,13,3,0,10,8,17,15,50,63
1.0,Sat,2021-08-14,22:00,Alavés,Real Madrid,1.7,1.7,1–4,3968.0,César Soto,2021-2022,Víctor Laguardia,Karim Benzema,(4-2-3-1),(4-3-3),42%,58%,360 of 439 — 82%,88% — 541 of 618,3 of 10 — 30%,37% — 7 of 19,3 of 7 — 42%,100% — 3 of 3,1.0,0,2.0,0,14,10,0,4,18,13,526,721,8,10,8,16,12,3,14,7,1,2,13,10,23,12,62,63
1.0,Sat,2021-08-14,22:00,Osasuna,Espanyol,0.9,0.5,0–0,6715.0,Miguel Ángel Ortiz Arias,2021-2022,David García,David López,(4-4-2),(4-4-2),53%,47%,319 of 446 — 72%,68% — 273 of 399,1 of 14 — 7%,30% — 3 of 10,3 of 3 — 100%,100% — 1 of 1,3.0,0,3.0,0,18,12,4,6,36,18,558,511,20,19,6,6,32,25,15,22,1,3,8,15,22,20,75,93
1.0,Sun,2021-08-15,17:30,Celta Vigo,Atlético Madrid,2.3,1.5,1–2,5401.0,José Luis Munuera,2021-2022,Hugo Mallo,Koke,(4-1-3-2),(3-1-4-2),53%,47%,426 of 526 — 81%,78% — 367 of 469,1 of 9 — 11%,31% — 4 of 13,2 of 4 — 50%,100% — 1 of 1,4.0,1,5.0,1,11,9,2,5,21,9,641,576,19,12,11,4,5,20,16,26,1,1,7,5,21,25,66,82
1.0,Sun,2021-08-15,20:00,Barcelona,Real Sociedad,2.8,0.8,4–2,20384.0,Alejandro Hernández,2021-2022,Sergio Busquets,Mikel Oyarzabal,(4-3-3),(4-2-3-1),62%,38%,516 of 590 — 87%,77% — 280 of 366,8 of 13 — 62%,27% — 3 of 11,1 of 3 — 33%,50% — 4 of 8,2.0,0,4.0,0,11,18,5,3,11,10,702,465,20,22,14,5,11,13,12,19,1,2,7,3,37,21,60,38
1.0,Sun,2021-08-15,22:15,Sevilla,Rayo Vallecano,3.7,0.4,3–0,13962.0,Isidro Díaz de Mera,2021-2022,Jesús Navas,Óscar Trejo,(3-4-3),(4-2-3-1),74%,26%,722 of 787 — 92%,72% — 197 of 275,7 of 20 — 35%,75% — 3 of 4,3 of 3 — 100%,71% — 5 of 7,1.0,0,0.0,1,14,7,4,0,15,4,872,345,10,10,5,11,9,13,13,12,1,1,2,9,16,21,70,58
1.0,Mon,2021-08-16,20:00,Villarreal,Granada,1.1,0.3,0–0,7837.0,Pablo González,2021-2022,Raúl Albiol,Germán Sánchez,(4-4-2),(4-3-3),61%,39%,425 of 525 — 81%,74% — 250 of 340,3 of 14 — 21%,17% — 1 of 6,1 of 1 — 100%,100% — 3 of 3,6.5,0,1.0,0,19,21,6,2,21,16,605,442,19,16,9,19,21,11,9,18,1,0,6,10,24,13,58,72
1.0,Mon,2021-08-16,22:00,Elche,Athletic Club,1.1,0.6,0–0,9145.0,Adrián Cordero,2021-2022,Gonzalo Verdú,Iker Muniain,(3-5-2),(4-4-2),51%,49%,332 of 428 — 78%,75% — 313 of 416,2 of 8 — 25%,33% — 3 of 9,3 of 3 — 100%,100% — 2 of 2,2.0,0,2.0,0,13,19,6,8,22,22,533,514,7,9,8,7,10,16,26,16,5,1,9,7,19,15,83,63
