Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
1.0,Fri,2022-08-12,21:00,Osasuna,Sevilla,1.5,0.9,2–1,18536.0,Carlos del Cerro,2022-2023,0
1.0,Sat,2022-08-13,17:00,Celta Vigo,Espanyol,0.4,1.1,2–2,13859.0,Miguel Ángel Ortiz Arias,2022-2023,1
1.0,Sat,2022-08-13,19:00,Valladolid,Villarreal,1.0,1.5,0–3,17543.0,Mario Melero,2022-2023,2
1.0,Sat,2022-08-13,21:00,Barcelona,Rayo Vallecano,1.9,0.5,0–0,81104.0,Alejandro Hernández,2022-2023,3
1.0,Sun,2022-08-14,17:30,Cádiz,Real Sociedad,0.2,1.7,0–1,16570.0,Isidro Díaz de Mera,2022-2023,4
1.0,Sun,2022-08-14,19:30,Valencia,Girona,1.6,0.1,1–0,39359.0,Jorge Figueroa,2022-2023,5
1.0,Sun,2022-08-14,22:00,Almería,Real Madrid,0.7,2.1,1–2,14386.0,Juan Martínez,2022-2023,6
1.0,Mon,2022-08-15,17:30,Athletic Club,Mallorca,1.6,0.4,0–0,39747.0,Javier Villanueva,2022-2023,7
1.0,Mon,2022-08-15,19:30,Getafe,Atlético Madrid,0.7,1.2,0–3,12235.0,José Sánchez,2022-2023,8
1.0,Mon,2022-08-15,21:30,Betis,Elche,3.1,0.4,3–0,50622.0,Guillermo Cuadra,2022-2023,9
2.0,Fri,2022-08-19,20:00,Espanyol,Rayo Vallecano,0.8,1.4,0–2,16071.0,Jorge Figueroa,2022-2023,11
2.0,Fri,2022-08-19,22:00,Sevilla,Valladolid,2.0,0.5,1–1,33991.0,Juan Pulido,2022-2023,12
2.0,Sat,2022-08-20,17:30,Osasuna,Cádiz,2.7,1.0,2–0,18587.0,Antonio Matéu Lahoz,2022-2023,13
2.0,Sat,2022-08-20,19:30,Mallorca,Betis,0.6,2.1,1–2,15579.0,Pablo González,2022-2023,14
2.0,Sat,2022-08-20,22:00,Celta Vigo,Real Madrid,1.4,3.7,1–4,15681.0,Jesús Gil,2022-2023,15
2.0,Sun,2022-08-21,17:30,Athletic Club,Valencia,1.0,0.7,1–0,43333.0,César Soto,2022-2023,16
2.0,Sun,2022-08-21,19:30,Atlético Madrid,Villarreal,1.6,1.8,0–2,57033.0,Ricardo de Burgos,2022-2023,17
2.0,Sun,2022-08-21,22:00,Real Sociedad,Barcelona,0.8,2.1,1–4,36201.0,José Luis Munuera,2022-2023,18
2.0,Mon,2022-08-22,20:00,Elche,Almería,1.0,0.7,1–1,23361.0,Isidro Díaz de Mera,2022-2023,19
2.0,Mon,2022-08-22,22:00,Girona,Getafe,1.1,0.6,3–1,10460.0,Alejandro Muñíz,2022-2023,20
3.0,Fri,2022-08-26,20:00,Girona,Celta Vigo,1.0,1.0,0–1,11329.0,Carlos del Cerro,2022-2023,22
3.0,Fri,2022-08-26,22:00,Betis,Osasuna,0.5,1.3,1–0,52580.0,Juan Martínez,2022-2023,23
3.0,Sat,2022-08-27,17:30,Elche,Real Sociedad,0.7,1.8,0–1,22656.0,Javier Villanueva,2022-2023,24
3.0,Sat,2022-08-27,19:30,Rayo Vallecano,Mallorca,0.7,0.8,0–2,10944.0,José Sánchez,2022-2023,25
3.0,Sat,2022-08-27,22:00,Almería,Sevilla,2.3,1.0,2–1,13788.0,Jesús Gil,2022-2023,26
3.0,Sun,2022-08-28,17:30,Getafe,Villarreal,0.3,1.1,0–0,9815.0,Jorge Figueroa,2022-2023,27
3.0,Sun,2022-08-28,19:30,Barcelona,Valladolid,2.6,0.8,4–0,83972.0,Ricardo de Burgos,2022-2023,28
3.0,Sun,2022-08-28,22:00,Espanyol,Real Madrid,1.3,2.1,1–3,25778.0,Mario Melero,2022-2023,29
3.0,Mon,2022-08-29,20:00,Cádiz,Athletic Club,0.4,2.4,0–4,17029.0,Miguel Ángel Ortiz Arias,2022-2023,30
3.0,Mon,2022-08-29,22:00,Valencia,Atlético Madrid,0.5,1.5,0–1,43910.0,Guillermo Cuadra,2022-2023,31
4.0,Fri,2022-09-02,21:00,Celta Vigo,Cádiz,0.7,0.3,3–0,14510.0,Juan Pulido,2022-2023,33
4.0,Sat,2022-09-03,14:00,Mallorca,Girona,0.7,1.2,1–1,13390.0,Isidro Díaz de Mera,2022-2023,34
4.0,Sat,2022-09-03,16:15,Real Madrid,Betis,2.9,0.5,2–1,58579.0,José Sánchez,2022-2023,35
4.0,Sat,2022-09-03,18:30,Real Sociedad,Atlético Madrid,1.4,1.1,1–1,35366.0,César Soto,2022-2023,36
4.0,Sat,2022-09-03,21:00,Sevilla,Barcelona,1.0,4.0,0–3,40233.0,Antonio Matéu Lahoz,2022-2023,37
