Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
1.0,Fri,2022-08-05,21:00,Lyon,Ajaccio,1.3,1.5,2–1,48516.0,Benoît Bastien,2022-2023,Alexandre Lacazette,Vincent Marchetti,(4-3-3),(4-4-2),67%,33%,583 of 671 — 87%,72% — 239 of 332,5 of 10 — 50%,43% — 3 of 7,3 of 3 — 100%,80% — 4 of 5,1.0,1.0,7.5,0.0,10,18,4,3,7,12,755,433,15,22,11,11,13,8,11,8,0,0,10,4,22,20,61,57
1.0,Sat,2022-08-06,17:00,Strasbourg,Monaco,0.8,2.8,1–2,25359.0,François Letexier,2022-2023,Dimitri Liénard,Axel Disasi,(3-4-1-2),(4-2-3-1),53%,47%,409 of 523 — 78%,77% — 359 of 465,7 of 11 — 64%,46% — 11 of 24,9 of 11 — 81%,85% — 6 of 7,0.0,0.0,2.0,0.0,17,15,3,7,16,25,660,595,26,14,15,10,24,16,15,16,3,3,11,3,16,20,77,75
1.0,Sat,2022-08-06,21:00,Clermont Foot,Paris S-G,0.3,3.5,0–5,12203.0,Jeremy Stinat,2022-2023,Florent Ogier,Marquinhos,(4-2-3-1),(3-4-3),38%,62%,367 of 439 — 84%,89% — 630 of 710,1 of 7 — 14%,67% — 12 of 18,7 of 12 — 58%,100% — 1 of 1,2.0,0.0,1.0,0.0,13,13,0,6,3,14,546,787,16,9,12,5,4,3,17,3,0,4,4,6,6,14,53,36
1.0,Sun,2022-08-07,13:00,Toulouse,Nice,0.9,1.2,1–1,20567.0,Johan Hamel,2022-2023,Branco van den Boomen,Dante,(4-2-3-1),(4-3-3),46%,54%,398 of 500 — 80%,83% — 489 of 591,3 of 6 — 50%,36% — 4 of 11,3 of 4 — 75%,66% — 2 of 3,1.0,0.0,2.0,0.0,10,8,6,3,17,13,596,683,23,15,16,9,14,8,13,9,2,2,9,8,18,24,79,50
1.0,Sun,2022-08-07,15:00,Angers,Nantes,1.5,1.5,0–0,12000.0,Hakim Ben El Hadj Salem,2022-2023,Pierrick Capelle,Alban Lafont,(4-2-3-1),(3-4-1-2),49%,51%,304 of 407 — 75%,73% — 312 of 429,6 of 16 — 38%,21% — 3 of 14,3 of 3 — 100%,100% — 6 of 6,3.0,0.0,3.0,0.0,15,13,3,6,15,17,532,532,23,19,4,8,16,20,20,20,1,3,11,9,19,28,61,96
1.0,Sun,2022-08-07,15:00,Lille,Auxerre,2.4,0.6,4–1,32292.0,Eric Wattellier,2022-2023,José Fonte,Birama Touré,(4-2-3-1),(4-2-3-1),59%,41%,579 of 649 — 89%,82% — 367 of 445,6 of 16 — 38%,20% — 2 of 10,1 of 2 — 50%,33% — 2 of 6,2.0,0.0,1.0,0.0,10,9,7,2,14,15,730,532,14,16,3,8,6,7,15,19,2,4,6,10,13,22,62,83
1.0,Sun,2022-08-07,15:00,Montpellier,Troyes,1.7,2.0,3–2,12003.0,Pierre Gaillouste,2022-2023,Téji Savanier,Florian Tardieu,(4-2-3-1),(5-4-1),54%,46%,366 of 446 — 82%,82% — 316 of 385,6 of 17 — 35%,60% — 9 of 15,8 of 9 — 88%,50% — 3 of 6,1.0,0.0,0.0,0.0,13,10,3,6,12,22,530,487,15,17,7,15,8,15,7,14,4,0,6,9,20,16,46,66
1.0,Sun,2022-08-07,15:00,Lens,Brest,2.5,1.2,3–2,37015.0,Thomas Léonard,2022-2023,Seko Fofana,Brendan Chardonnet,(3-4-3),(4-4-2),61%,39%,440 of 524 — 84%,70% — 236 of 337,6 of 15 — 40%,60% — 3 of 5,2 of 3 — 66%,50% — 3 of 6,2.0,0.0,4.0,0.0,16,14,6,3,12,11,608,420,12,15,7,8,11,12,10,9,0,2,3,10,21,23,60,57
1.0,Sun,2022-08-07,17:05,Rennes,Lorient,1.8,1.1,0–1,28177.0,Bastien Dechepy,2022-2023,Hamari Traoré,Laurent Abergel,(4-3-3),(4-3-3),63%,37%,589 of 684 — 86%,78% — 309 of 398,6 of 21 — 29%,25% — 2 of 8,2 of 2 — 100%,100% — 6 of 6,3.0,0.0,1.0,0.0,11,5,7,2,25,8,777,517,19,25,9,9,17,8,9,21,0,1,6,8,20,19,50,59
1.0,Sun,2022-08-07,20:45,Marseille,Reims,2.1,0.9,4–1,62738.0,Jérôme Brisard,2022-2023,Valentin Rongier,Yunis Abdelhamid,(3-4-3),(4-3-3),56%,44%,418 of 533 — 78%,74% — 315 of 425,6 of 16 — 38%,38% — 6 of 16,5 of 6 — 83%,50% — 3 of 6,1.0,0.0,0.0,0.0,14,10,6,7,23,18,637,544,17,9,16,11,23,22,20,22,1,1,10,8,24,24,88,51
