Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
1.0,Fri,2023-08-11,21:00,Nice,Lille,1.2,1.3,1–1,29436.0,Benoît Bastien,2023-2024,0
1.0,Sat,2023-08-12,17:00,Marseille,Reims,1.0,0.8,2–1,63787.0,Eric Wattellier,2023-2024,1
1.0,Sat,2023-08-12,21:00,Paris S-G,Lorient,1.2,0.1,0–0,47000.0,Bastien Dechepy,2023-2024,2
1.0,Sun,2023-08-13,13:00,Brest,Lens,2.5,0.7,3–2,15085.0,Jérémie Pignard,2023-2024,3
1.0,Sun,2023-08-13,15:00,Nantes,Toulouse,1.1,1.1,1–2,30578.0,Willy Delajod,2023-2024,4
1.0,Sun,2023-08-13,15:00,Clermont Foot,Monaco,1.8,2.5,2–4,10453.0,François Letexier,2023-2024,5
1.0,Sun,2023-08-13,15:00,Montpellier,Le Havre,1.6,1.0,2–2,15852.0,Clément Turpin,2023-2024,6
1.0,Sun,2023-08-13,17:05,Rennes,Metz,4.0,0.4,5–1,26065.0,Jeremy Stinat,2023-2024,7
1.0,Sun,2023-08-13,20:45,Strasbourg,Lyon,1.3,1.7,2–1,25410.0,Jérôme Brisard,2023-2024,8
2.0,Fri,2023-08-18,21:00,Metz,Marseille,0.5,1.9,2–2,26661.0,Jérôme Brisard,2023-2024,10
2.0,Sat,2023-08-19,19:00,Lyon,Montpellier,0.4,2.9,1–4,42576.0,Mathieu Vernice,2023-2024,11
2.0,Sat,2023-08-19,21:00,Toulouse,Paris S-G,1.2,2.1,1–1,27332.0,Thomas Léonard,2023-2024,12
2.0,Sun,2023-08-20,13:00,Lille,Nantes,2.2,1.1,2–0,34356.0,Pierre Gaillouste,2023-2024,13
2.0,Sun,2023-08-20,15:00,Reims,Clermont Foot,2.4,0.4,2–0,12887.0,Romain Lissorgue,2023-2024,14
2.0,Sun,2023-08-20,15:00,Le Havre,Brest,1.2,1.1,1–2,19574.0,Florent Batta,2023-2024,15
2.0,Sun,2023-08-20,15:00,Lorient,Nice,0.8,1.7,1–1,15848.0,Hakim Ben El Hadj Salem,2023-2024,16
2.0,Sun,2023-08-20,19:00,Monaco,Strasbourg,0.9,0.5,3–0,10100.0,Ruddy Buquet,2023-2024,17
2.0,Sun,2023-08-20,20:45,Lens,Rennes,1.0,1.4,1–1,37233.0,Benoît Millot,2023-2024,18
3.0,Fri,2023-08-25,21:00,Nantes,Monaco,1.0,3.3,3–3,28429.0,Jérémie Pignard,2023-2024,20
3.0,Sat,2023-08-26,19:00,Marseille,Brest,2.9,1.5,2–0,63592.0,Jeremy Stinat,2023-2024,21
