,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Josué Casimir,Achraf Hakimi,(4-3-3),(4-3-3),24%,76%,205 of 277 — 74%,92% — 798 of 866,2 of 5 — 40%,57% — 8 of 14,5 of 8 — 62%,50% — 1 of 2,3.0,0.0,0.0,0.0,11,9,2,8,10,15,378,967,25,17,9,4,5,10,14,9,1,1,6,4,13,21,48,52
0,Brendan Chardonnet,Leonardo Balerdi,(4-3-3),(4-2-3-1),50%,50%,442 of 534 — 83%,86% — 467 of 540,6 of 9 — 67%,60% — 3 of 5,0 of 3 — 0%,83% — 5 of 6,4.0,0.0,1.0,0.0,12,8,5,0,20,1,636,658,28,18,9,11,6,7,3,20,2,0,3,5,17,20,60,41
0,Emmanuel Agbadou,Bafodé Diakité,(4-3-3),(5-4-1),32%,68%,226 of 311 — 73%,89% — 596 of 670,0 of 2 — 0%,27% — 6 of 22,4 of 6 — 66%,% — 0 of 0,2.0,1.0,2.0,0.0,6,15,0,8,8,19,416,790,25,18,10,7,9,13,17,13,0,2,9,3,14,11,63,34
0,Denis Zakaria,Yunis Abdelhamid,(4-4-2),(4-1-4-1),61%,39%,440 of 526 — 84%,71% — 234 of 331,6 of 17 — 35%,36% — 4 of 11,4 of 4 — 100%,83% — 5 of 6,1.0,0.0,1.0,0.0,13,14,5,4,12,10,658,446,19,22,6,13,15,11,11,19,2,3,6,9,24,21,45,67
0,Jubal,Dante,(4-4-2),(3-4-3),45%,55%,364 of 441 — 83%,84% — 446 of 530,7 of 16 — 44%,22% — 2 of 9,1 of 2 — 50%,71% — 5 of 7,0.0,0.0,0.0,0.0,11,17,3,5,19,20,553,630,19,16,6,8,9,9,27,17,2,3,5,9,13,13,62,40
0,Téji Savanier,Habib Diarra,(4-2-3-1),(3-4-3),42%,58%,269 of 356 — 76%,82% — 403 of 493,4 of 7 — 57%,36% — 4 of 11,3 of 4 — 75%,100% — 4 of 4,4.0,0.0,3.0,0.0,19,18,6,4,19,9,454,592,22,24,3,8,7,17,12,17,0,0,11,7,17,24,72,62
0,Pierrick Capelle,Brice Samba,(5-3-2),(3-4-1-2),42%,58%,285 of 400 — 71%,80% — 437 of 548,3 of 8 — 38%,40% — 4 of 10,3 of 4 — 75%,100% — 3 of 3,1.0,0.0,0.0,0.0,12,14,7,3,23,15,535,687,21,30,10,11,15,13,14,25,4,3,8,6,31,25,82,71
0,Rasmus Nicolaisen,Jean-Charles Castelletto,(3-4-3),(4-2-3-1),54%,46%,434 of 538 — 81%,81% — 374 of 461,6 of 12 — 50%,20% — 2 of 10,2 of 2 — 100%,100% — 6 of 6,1.0,0.0,3.0,0.0,14,11,10,5,27,22,644,575,20,18,8,5,22,10,20,33,0,0,8,7,23,15,68,75
0,Steve Mandanda,Maxence Caqueret,(4-1-2-1-2),(4-3-3),47%,53%,367 of 445 — 82%,81% — 413 of 507,8 of 22 — 36%,7% — 1 of 15,1 of 1 — 100%,62% — 5 of 8,2.0,0.0,1.0,0.0,13,12,7,7,12,21,576,622,22,22,11,13,12,8,26,22,1,2,11,9,10,26,45,48
0,Marquinhos,Téji Savanier,(4-3-3),(5-3-2),68%,32%,713 of 774 — 92%,82% — 296 of 361,11 of 27 — 41%,38% — 3 of 8,3 of 3 — 100%,45% — 5 of 11,1.0,0.0,4.0,0.0,11,17,10,2,17,9,890,461,21,19,10,12,5,6,7,15,0,2,7,13,11,9,38,70
0,Alexandre Lacazette,Denis Zakaria,(4-2-3-1),(4-2-3-1),40%,60%,281 of 362 — 78%,83% — 450 of 542,0 of 1 — 0%,29% — 6 of 21,4 of 6 — 66%,% — 0 of 0,2.0,0.0,4.5,0.0,19,9,0,6,7,25,492,651,25,25,12,8,4,9,25,14,4,1,15,7,26,24,52,51
0,Benjamin André,Pierrick Capelle,(3-4-3),(5-3-2),64%,36%,538 of 637 — 84%,79% — 285 of 361,6 of 11 — 55%,33% — 2 of 6,2 of 2 — 100%,66% — 4 of 6,1.0,0.0,2.0,0.0,9,18,3,2,12,8,722,487,20,23,6,9,9,8,8,28,1,4,6,4,21,18,64,57
0,Yunis Abdelhamid,Arouna Sangante,(4-1-4-1),(5-4-1),59%,41%,408 of 495 — 82%,75% — 262 of 348,5 of 19 — 26%,31% — 4 of 13,3 of 4 — 75%,100% — 5 of 5,3.0,0.0,3.0,0.0,12,10,2,4,11,19,588,463,7,17,6,10,15,11,18,21,2,3,10,8,22,18,52,54
0,Brice Samba,Brendan Chardonnet,(3-4-1-2),(4-3-3),52%,48%,429 of 543 — 79%,79% — 388 of 494,9 of 20 — 45%,18% — 2 of 11,2 of 2 — 100%,88% — 8 of 9,2.0,1.0,3.0,0.0,10,7,5,2,22,16,643,611,16,12,10,19,23,15,15,24,6,1,12,7,16,10,64,89
0,Habib Diarra,Steve Mandanda,(3-4-1-2),(4-3-1-2),59%,41%,486 of 580 — 84%,77% — 308 of 399,5 of 11 — 45%,36% — 5 of 14,4 of 5 — 80%,60% — 3 of 5,2.0,0.0,4.0,0.0,9,19,2,5,9,16,690,509,21,19,7,11,11,12,27,10,3,1,6,3,17,19,67,66
0,Dante,Vincent Sierro,(3-5-2),(3-4-3),57%,43%,406 of 502 — 81%,74% — 275 of 372,3 of 11 — 27%,20% — 3 of 15,2 of 3 — 66%,66% — 2 of 3,4.0,0.0,1.0,0.0,12,21,4,4,20,13,625,474,19,26,6,5,18,15,12,19,1,1,6,11,24,18,57,52
