,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
0,Marc Guéhi,Martin Ødegaard,(4-2-3-1),(4-3-3),56%,44%,514 of 609 — 84%,81% — 378 of 469,2 of 10 — 20%,20% — 2 of 10,1 of 2 — 50%,100% — 2 of 2,1.0,0,2.0,0,16,11,3,5,19,11,726,599,18,29,8,9,10,14,18,24,1,2,4,2,25,14,83,59
0,Tim Ream,Jordan Henderson,(4-2-3-1),(4-3-3),33%,67%,203 of 340 — 60%,76% — 514 of 675,2 of 8 — 25%,27% — 3 of 11,1 of 3 — 33%,50% — 1 of 2,2.0,0,0.0,0,7,9,4,4,19,18,474,784,24,11,10,10,23,13,31,16,4,4,8,5,22,35,77,94
0,Kieran Trippier,Joe Worrall,(4-3-3),(3-4-1-2),61%,39%,415 of 526 — 79%,71% — 243 of 342,9 of 23 — 39%,0% — 0 of 5,0 of 0 — %,77% — 7 of 9,0.0,0,3.0,0,9,14,11,1,25,9,634,475,19,15,11,10,12,16,14,37,2,0,2,12,21,26,64,70
0,Lloyd Kelly,John McGinn,(3-4-3),(4-3-3),35%,65%,233 of 333 — 70%,81% — 509 of 630,3 of 7 — 43%,13% — 2 of 15,2 of 2 — 100%,33% — 1 of 3,3.0,0,3.0,0,18,16,5,5,11,31,462,721,20,10,13,8,16,16,40,9,1,4,12,3,14,19,68,70
0,Patrick Bamford,Rúben Neves,(4-2-3-1),(4-2-3-1),40%,60%,295 of 399 — 74%,84% — 502 of 597,4 of 12 — 33%,40% — 6 of 15,5 of 6 — 83%,75% — 3 of 4,2.0,0,0.0,0,13,9,6,4,20,20,515,720,21,16,14,14,9,7,23,17,0,1,9,9,16,23,60,72
0,Hugo Lloris,James Ward-Prowse,(3-4-3),(5-3-2),58%,42%,501 of 604 — 83%,79% — 351 of 445,8 of 18 — 44%,20% — 2 of 10,1 of 2 — 50%,62% — 5 of 8,3.0,0,0.0,0,11,6,10,2,24,18,709,554,24,14,3,13,13,11,20,21,2,0,6,4,20,14,85,61
0,Jordan Pickford,César Azpilicueta,(5-4-1),(3-4-3),38%,62%,272 of 377 — 72%,84% — 516 of 616,3 of 8 — 38%,36% — 5 of 14,5 of 5 — 100%,100% — 3 of 3,3.0,0,2.0,0,14,11,4,16,15,25,495,730,24,19,8,9,12,22,26,16,0,2,5,7,22,17,71,46
0,Jonny Evans,Pontus Jansson,(3-5-1-1),(4-3-3),56%,44%,538 of 621 — 87%,81% — 404 of 497,5 of 14 — 36%,38% — 3 of 8,1 of 3 — 33%,60% — 3 of 5,0.0,0,0.0,0,6,5,5,6,10,16,725,580,13,10,10,8,14,15,13,16,2,2,3,7,20,12,42,70
0,Harry Maguire,Lewis Dunk,(4-3-3),(3-3-3-1),62%,38%,480 of 599 — 80%,70% — 252 of 362,5 of 17 — 29%,27% — 4 of 15,2 of 4 — 50%,100% — 5 of 5,4.0,0,1.0,0,7,12,6,2,24,12,708,483,12,14,15,12,11,9,11,24,3,1,11,11,22,22,74,78
0,Declan Rice,İlkay Gündoğan,(4-2-3-1),(4-3-3),25%,75%,223 of 294 — 76%,91% — 792 of 869,1 of 6 — 17%,8% — 1 of 13,0 of 1 — 0%,100% — 1 of 1,0.0,0,1.0,0,8,4,1,4,12,18,377,936,14,6,11,3,10,11,16,11,4,1,11,5,11,12,66,64
