Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,t1_captain,t2_captain,t1_formation,t2_formation,t1_possession,t2_possession,t1_passing,t2_passing,t1_shots,t2_shots,t1_saves,t2_saves,t1_yellow_cards,t1_red_cards,t2_yellow_cards,t2_red_cards,t1_fouls,t2_fouls,t1_corners,t2_corners,t1_crosses,t2_crosses,t1_touches,t2_touches,t1_tackles,t2_tackles,t1_interceptions,t2_interceptions,t1_aerials_won,t2_aerials_won,t1_clearances,t2_clearances,t1_offsides,t2_offsides,t1_goal_kicks,t2_goal_kicks,t1_throw_ins,t2_throw_ins,t1_long_balls,t2_long_balls
1.0,Sat,2019-08-24,18:00,Parma,Juventus,0.3,1.4,0–1,20073.0,Fabio Maresca,2019-2020,Bruno Alves,Giorgio Chiellini,(4-3-3),(4-3-3),39%,61%,277 of 360 — 77%,85% — 479 of 564,2 of 8 — 25%,29% — 4 of 14,3 of 4 — 75%,100% — 2 of 2,2.0,0,3.0,0,13,14,5,8,12,27,455,661,14,17,9,9,8,10,21,15,2,1,10,4,16,18,72,58
1.0,Sat,2019-08-24,20:45,Fiorentina,Napoli,1.7,2.0,3–4,33614.0,Davide Massa,2019-2020,Germán Pezzella,Lorenzo Insigne,(4-3-3),(4-4-1-1),43%,57%,341 of 423 — 81%,84% — 470 of 557,5 of 19 — 26%,40% — 6 of 15,3 of 6 — 50%,60% — 3 of 5,2.0,0,4.0,0,21,16,4,5,15,14,528,644,14,12,11,9,9,11,15,13,1,0,3,8,14,15,37,51
1.0,Sun,2019-08-25,18:00,Udinese,Milan,0.8,0.7,1–0,24584.0,Fabrizio Pasqua,2019-2020,Kevin Lasagna,Alessio Romagnoli,(3-5-2),(4-3-1-2),41%,59%,317 of 401 — 79%,86% — 488 of 567,6 of 17 — 35%,0% — 0 of 14,0 of 0 — %,83% — 5 of 6,1.0,0,3.0,0,16,11,9,4,24,16,508,673,12,14,12,3,14,14,18,36,0,0,10,7,19,10,74,36
1.0,Sun,2019-08-25,20:45,Hellas Verona,Bologna,0.2,1.8,1–1,16324.0,Antonio Giua,2019-2020,Miguel Veloso,Andrea Poli,(3-4-3),(4-2-3-1),27%,73%,136 of 233 — 58%,84% — 540 of 642,2 of 5 — 40%,7% — 1 of 15,1 of 1 — 100%,50% — 1 of 2,1.0,1,3.0,0,13,14,1,6,3,24,335,733,16,15,11,6,21,16,38,6,2,1,15,5,18,21,65,61
1.0,Sun,2019-08-25,20:45,SPAL,Atalanta,1.6,1.8,2–3,11706.0,Gianluca Manganiello,2019-2020,Felipe dal Belo,Papu Gómez,(3-5-2),(3-4-1-2),41%,59%,258 of 371 — 70%,76% — 406 of 531,3 of 9 — 33%,62% — 13 of 21,10 of 13 — 76%,33% — 1 of 3,2.0,0,1.0,0,13,16,2,10,15,31,484,636,14,17,9,14,20,28,32,16,2,2,8,8,15,20,58,73
1.0,Sun,2019-08-25,20:45,Sampdoria,Lazio,0.7,1.8,0–3,19500.0,Gianluca Rocchi,2019-2020,Fabio Quagliarella,Senad Lulić,(4-3-3),(5-3-2),50%,50%,400 of 483 — 83%,80% — 391 of 487,8 of 16 — 50%,59% — 10 of 17,7 of 10 — 70%,100% — 8 of 8,2.0,0,2.0,0,12,12,5,9,16,22,591,597,18,25,6,12,13,19,20,21,1,6,9,5,14,16,40,84
1.0,Sun,2019-08-25,20:45,Roma,Genoa,2.5,1.3,3–3,38779.0,Giampaolo Calvarese,2019-2020,Alessandro Florenzi,Domenico Criscito,(4-2-3-1),(3-1-4-2),53%,47%,400 of 483 — 83%,81% — 347 of 430,9 of 23 — 39%,60% — 3 of 5,1 of 3 — 33%,66% — 6 of 9,3.0,0,1.0,0,14,15,5,1,19,10,575,526,10,13,9,10,11,13,16,31,0,6,4,12,15,19,62,66
1.0,Sun,2019-08-25,20:45,Cagliari,Brescia,1.2,1.3,0–1,16099.0,Eugenio Abbattista,2019-2020,Luca Ceppitelli,Dimitri Bisoli,(4-3-1-2),(4-3-1-2),57%,43%,410 of 543 — 76%,65% — 263 of 402,4 of 14 — 29%,11% — 1 of 9,1 of 1 — 100%,100% — 4 of 4,2.0,0,2.0,0,10,12,8,8,32,20,676,521,9,12,24,11,24,28,32,39,2,7,9,9,29,26,98,84
1.0,Sun,2019-08-25,20:45,Torino,Sassuolo,1.2,1.3,2–1,16536.0,Maurizio Mariani,2019-2020,Andrea Belotti,Andrea Consigli,(3-5-2),(4-3-1-2),36%,64%,196 of 298 — 66%,83% — 442 of 534,4 of 10 — 40%,45% — 9 of 20,8 of 9 — 88%,50% — 2 of 4,4.0,0,3.0,0,21,14,6,6,17,12,434,659,27,15,15,9,24,14,16,22,3,0,8,5,25,24,78,45
1.0,Mon,2019-08-26,20:45,Inter,Lecce,1.7,0.6,4–0,64188.0,Federico La Penna,2019-2020,Samir Handanović,Fabio Lucioni,(3-5-2),(4-2-3-1),59%,41%,505 of 581 — 87%,79% — 314 of 397,8 of 24 — 33%,6% — 1 of 17,1 of 1 — 100%,50% — 4 of 8,1.0,0,2.0,1,13,9,7,7,23,21,706,484,11,10,12,5,11,14,25,23,5,0,7,10,7,13,76,51
