Wk,Day,Date,Time,Home,Away,xG,xG.1,Score,Attendance,Referee,season,game_id
1.0,Sat,2017-08-19,18:00,Juventus,Cagliari,1.1,1.4,3–0,39226.0,Fabio Maresca,2017-2018,0
1.0,Sat,2017-08-19,20:45,Hellas Verona,Napoli,1.3,2.1,1–3,15215.0,Michael Fabbri,2017-2018,1
1.0,Sun,2017-08-20,18:00,Atalanta,Roma,1.5,0.4,0–1,19108.0,Piero Giacomelli,2017-2018,2
1.0,Sun,2017-08-20,20:45,Udinese,Chievo,0.8,0.5,1–2,13000.0,Claudio Gavillucci,2017-2018,3
1.0,Sun,2017-08-20,20:45,Inter,Fiorentina,2.3,0.6,3–0,51752.0,Paolo Tagliavento,2017-2018,4
1.0,Sun,2017-08-20,20:45,Bologna,Torino,0.6,0.4,1–1,19033.0,Davide Massa,2017-2018,5
1.0,Sun,2017-08-20,20:45,Sampdoria,Benevento,2.7,0.9,2–1,19223.0,Fabrizio Pasqua,2017-2018,6
1.0,Sun,2017-08-20,20:45,Crotone,Milan,0.4,1.8,0–3,13478.0,Maurizio Mariani,2017-2018,7
1.0,Sun,2017-08-20,20:45,Lazio,SPAL,0.8,0.6,0–0,25000.0,Rosario Abisso,2017-2018,8
1.0,Sun,2017-08-20,20:45,Sassuolo,Genoa,0.5,0.9,0–0,8134.0,Antonio Damato,2017-2018,9
2.0,Sat,2017-08-26,18:00,Genoa,Juventus,1.2,2.1,2–4,26296.0,Luca Banti,2017-2018,11
2.0,Sat,2017-08-26,18:00,Benevento,Bologna,0.9,1.7,0–1,11054.0,Giampaolo Calvarese,2017-2018,12
2.0,Sat,2017-08-26,20:45,Roma,Inter,1.4,2.4,1–3,49388.0,Massimiliano Irrati,2017-2018,13
2.0,Sun,2017-08-27,18:00,Torino,Sassuolo,1.1,0.8,3–0,18289.0,Paolo Mazzoleni,2017-2018,14
2.0,Sun,2017-08-27,20:45,SPAL,Udinese,1.5,1.2,3–2,11000.0,Paolo Valeri,2017-2018,15
2.0,Sun,2017-08-27,20:45,Napoli,Atalanta,1.2,0.9,3–1,35102.0,Marco Di Bello,2017-2018,16
2.0,Sun,2017-08-27,20:45,Crotone,Hellas Verona,0.8,0.2,0–0,9158.0,Marco Guida,2017-2018,17
2.0,Sun,2017-08-27,20:45,Milan,Cagliari,1.4,0.7,2–1,49525.0,Luca Pairetto,2017-2018,18
2.0,Sun,2017-08-27,20:45,Fiorentina,Sampdoria,2.0,2.2,1–2,25611.0,Daniele Doveri,2017-2018,19
2.0,Sun,2017-08-27,20:45,Chievo,Lazio,0.9,1.5,1–2,10000.0,Gianluca Manganiello,2017-2018,20
3.0,Sat,2017-09-09,18:00,Juventus,Chievo,1.3,0.6,3–0,39457.0,Michael Fabbri,2017-2018,22
3.0,Sun,2017-09-10,12:30,Inter,SPAL,1.9,0.5,2–0,57235.0,Claudio Gavillucci,2017-2018,23
3.0,Sun,2017-09-10,15:00,Udinese,Genoa,1.0,0.6,1–0,2370.0,Fabio Maresca,2017-2018,24
3.0,Sun,2017-09-10,15:00,Cagliari,Crotone,1.2,0.4,1–0,14076.0,Daniele Doveri,2017-2018,25
3.0,Sun,2017-09-10,15:00,Atalanta,Sassuolo,0.7,1.4,2–1,16120.0,Gianluca Manganiello,2017-2018,26
3.0,Sun,2017-09-10,15:00,Hellas Verona,Fiorentina,1.1,2.6,0–5,18181.0,Antonio Damato,2017-2018,27
3.0,Sun,2017-09-10,16:00,Lazio,Milan,2.0,1.0,4–1,30000.0,Gianluca Rocchi,2017-2018,28
3.0,Sun,2017-09-10,18:00,Benevento,Torino,0.9,1.0,0–1,11416.0,Rosario Abisso,2017-2018,29
3.0,Sun,2017-09-10,20:45,Bologna,Napoli,0.3,1.5,0–3,22398.0,Piero Giacomelli,2017-2018,30
4.0,Sat,2017-09-16,15:00,Crotone,Inter,1.0,0.7,0–2,13422.0,Luca Banti,2017-2018,32
4.0,Sat,2017-09-16,18:00,Fiorentina,Bologna,0.7,0.3,2–1,23802.0,Paolo Valeri,2017-2018,33
4.0,Sat,2017-09-16,20:45,Roma,Hellas Verona,3.5,0.2,3–0,29045.0,Luca Pairetto,2017-2018,34
4.0,Sun,2017-09-17,12:30,Sassuolo,Juventus,1.4,1.0,1–3,21584.0,Davide Massa,2017-2018,35
4.0,Sun,2017-09-17,15:00,SPAL,Cagliari,0.6,0.6,0–2,10979.0,Eugenio Abbattista,2017-2018,36
4.0,Sun,2017-09-17,15:00,Torino,Sampdoria,1.3,1.0,2–2,19879.0,Paolo Tagliavento,2017-2018,37
4.0,Sun,2017-09-17,15:00,Milan,Udinese,2.7,0.3,2–1,49473.0,Marco Guida,2017-2018,38
4.0,Sun,2017-09-17,15:00,Napoli,Benevento,4.8,0.2,6–0,49137.0,Massimiliano Irrati,2017-2018,39
4.0,Sun,2017-09-17,18:00,Chievo,Atalanta,1.2,1.5,1–1,10000.0,Maurizio Mariani,2017-2018,40
4.0,Sun,2017-09-17,20:45,Genoa,Lazio,0.5,2.9,2–3,19065.0,Daniele Orsato,2017-2018,41
5.0,Tue,2017-09-19,20:45,Bologna,Inter,0.8,1.2,1–1,26067.0,Marco Di Bello,2017-2018,43
5.0,Wed,2017-09-20,18:00,Benevento,Roma,0.8,2.0,0–4,14839.0,Michael Fabbri,2017-2018,44
5.0,Wed,2017-09-20,20:45,Hellas Verona,Sampdoria,0.8,1.5,0–0,14690.0,Gianluca Manganiello,2017-2018,45
