Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Sparta Prag,30,20,8,2,70,29,41,68
2,Slavia Prag,30,20,6,4,81,25,56,66
3,Viktoria Plzen,30,17,6,7,55,29,26,57
4,Bohemians 1905,30,14,6,10,53,49,4,48
5,Slovacko,30,13,7,10,36,38,-2,46
6,Sigma Olomouc,30,10,11,9,45,40,5,41
7,Slovan Liberec,30,10,8,12,39,43,-4,38
8,Hradec Kralove,30,11,5,14,34,40,-6,38
9,Mlada Boleslav,30,9,10,11,39,42,-3,37
10,C. Budejovice,30,10,5,15,35,54,-19,35
11,Jablonec,30,9,8,13,46,57,-11,35
12,Banik Ostrava,30,9,8,13,43,42,1,35
13,Teplice,30,8,8,14,38,63,-25,32
14,Zbrojovka Brno,30,8,7,15,40,56,-16,31
15,Pardubice,30,8,4,18,29,58,-29,28
16,Trinity Zlin,30,5,11,14,37,55,-18,26
