Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Ajax,23,18,3,2,51,18,33,57
2,PSV,24,16,4,4,73,29,44,52
3,Utrecht,24,13,7,4,43,36,7,46
4,Feyenoord,24,12,8,4,48,27,21,44
5,Twente,24,12,7,5,49,31,18,43
6,AZ Alkmaar,24,13,4,7,39,22,17,43
7,Go Ahead Eagles,24,11,5,8,43,38,5,38
8,Heerenveen,24,8,6,10,28,42,-14,30
9,Fortuna Sittard,24,8,5,11,31,42,-11,29
10,Groningen,24,7,7,10,23,33,-10,28
11,NAC Breda,24,8,3,13,26,42,-16,27
12,NEC Nijmegen,24,7,5,12,34,34,0,26
13,PEC Zwolle,23,6,7,10,27,35,-8,25
14,Willem II,23,6,6,11,26,34,-8,24
15,Heracles,23,5,9,9,28,43,-15,24
16,Sparta,23,4,8,11,19,33,-14,20
17,RKC Waalwijk,24,4,5,15,32,49,-17,17
18,Almere City,23,3,5,15,15,47,-32,14
