Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Union SG,30,21,7,2,63,31,32,70
2,Anderlecht,30,18,9,3,58,30,28,63
3,Antwerp,30,14,10,6,55,27,28,52
4,Club Brugge,30,14,9,7,62,29,33,51
5,Cercle,30,14,5,11,44,34,10,47
6,Genk,30,12,11,7,51,31,20,47
7,Gent,30,12,11,7,53,38,15,47
8,Mechelen,30,13,6,11,39,34,5,45
9,St. Truiden,30,10,10,10,35,46,-11,40
10,Standard,30,8,10,12,33,41,-8,34
11,Westerlo,30,7,9,14,42,54,-12,30
12,OH Leuven,30,7,8,15,34,47,-13,29
13,Charleroi,30,7,8,15,26,48,-22,29
14,Eupen,30,7,3,20,24,58,-34,24
15,Kortrijk,30,6,6,18,22,57,-35,24
16,RWDM,30,5,8,17,31,67,-36,23
