Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Atlético Madrid,26,16,8,2,43,16,27,56
2,Barcelona,25,17,3,5,67,25,42,54
3,Real Madrid,26,16,6,4,55,25,30,54
4,Bilbao,26,13,9,4,44,23,21,48
5,Villarreal,25,12,8,5,48,35,13,44
6,Real Betis,26,10,8,8,34,33,1,38
7,Rayo,26,9,9,8,28,27,1,36
8,Mallorca,25,10,5,10,24,31,-7,35
9,Sociedad,25,10,4,11,23,23,0,34
10,Celta Vigo,26,9,6,11,38,40,-2,33
11,Sevilla,26,8,9,9,31,36,-5,33
12,Girona,26,9,5,12,34,39,-5,32
13,Osasuna,25,7,11,7,29,34,-5,32
14,Getafe,25,7,9,9,21,20,1,30
15,Espanyol,25,7,6,12,24,36,-12,27
16,Las Palmas,26,6,6,14,30,44,-14,24
17,Leganés,25,5,9,11,22,38,-16,24
18,Valencia,25,5,8,12,25,41,-16,23
19,Alavés,25,5,7,13,28,39,-11,22
20,Valladolid,26,4,4,18,17,60,-43,16
