Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Sporting,34,26,7,1,65,20,45,85
2,Porto,34,24,8,2,74,29,45,80
3,Benfica,34,23,7,4,69,27,42,76
4,Braga,34,19,7,8,53,33,20,64
5,Paços Ferreira,34,15,8,11,40,41,-1,53
6,Santa Clara,34,13,7,14,44,36,8,46
7,Vitória SC,34,12,7,15,37,44,-7,43
8,Moreirense,34,10,13,11,37,43,-6,43
9,Famalicão,34,10,10,14,40,48,-8,40
10,B SAD,34,9,13,12,25,35,-10,40
11,Gil Vicente,34,11,6,17,33,42,-9,39
12,Tondela,34,10,6,18,36,57,-21,36
13,Boavista,34,8,12,14,39,49,-10,36
14,Portimonense,34,9,8,17,34,41,-7,35
15,Marítimo,34,10,5,19,27,47,-20,35
16,Rio Ave,34,7,13,14,25,40,-15,34
17,Farense,34,7,10,17,31,48,-17,31
18,Nacional,34,6,7,21,30,59,-29,25
