Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,PSG,24,19,5,0,66,23,43,62
2,Marsilya,23,14,4,5,50,29,21,46
3,Nice,24,13,7,4,49,28,21,46
4,Monaco,24,13,4,7,48,31,17,43
5,Lille,24,11,8,5,39,27,12,41
6,Lyon,23,10,6,7,42,30,12,36
7,Strasbourg,23,9,7,7,37,32,5,34
8,Lens,24,9,6,9,29,29,0,33
9,Brest,23,10,3,10,35,38,-3,33
10,Toulouse,23,8,6,9,27,26,1,30
11,AJ Auxerre,23,7,7,9,34,37,-3,28
12,Angers,23,7,6,10,26,34,-8,27
13,Rennes,23,8,2,13,30,32,-2,26
14,Nantes,23,5,9,9,28,40,-12,24
15,Reims,24,5,7,12,26,38,-12,22
16,Le Havre,24,6,2,16,23,50,-27,20
17,St.-Étienne,24,5,4,15,24,56,-32,19
18,Montpellier,23,4,3,16,21,54,-33,15
