Siralama,Takim,Mac,Galibiyet,Beraberlik,Maglubiyet,Attigi_Gol,Yedigi_Gol,Averaj,Puan
1,Inter,27,17,7,3,60,25,35,58
2,Napoli,27,17,6,4,43,22,21,57
3,Atalanta,27,16,7,4,59,26,33,55
4,Juventus,26,12,13,1,43,21,22,49
5,Lazio,26,14,5,7,47,34,13,47
6,Fiorentina,27,13,6,8,42,28,14,45
7,Bologna,26,11,11,4,40,32,8,44
8,Milan,26,11,8,7,38,28,10,41
9,Roma,26,11,7,8,40,29,11,40
10,Udinese,27,11,6,10,34,37,-3,39
11,Torino,27,7,11,9,29,32,-3,32
12,Genoa,26,7,9,10,24,34,-10,30
13,Como,26,7,7,12,32,41,-9,28
14,Verona,26,8,2,16,27,54,-27,26
15,Cagliari,26,6,7,13,26,40,-14,25
16,Lecce,27,6,7,14,18,43,-25,25
17,Parma,27,5,8,14,32,46,-14,23
18,Empoli,26,4,9,13,22,43,-21,21
19,Venezia,27,3,9,15,22,41,-19,18
20,Monza,27,2,9,16,21,43,-22,15
