Season,Position,Team,Matches,Wins,Draws,Losses,Goals,Goal Difference,Points,Pts/Match
24/25,1,PSG,34,26,6,2,92:35,57,84,2.4705882352941178
24/25,2,Marsilya,34,20,5,9,74:47,27,65,1.911764705882353
24/25,3,Monaco,34,18,7,9,63:41,22,61,1.7941176470588236
24/25,4,Nice,34,17,9,8,66:41,25,60,1.7647058823529411
24/25,5,Lille,34,17,9,8,52:36,16,60,1.7647058823529411
24/25,6,Lyon,34,17,6,11,65:46,19,57,1.6764705882352942
24/25,7,Strasbourg,34,16,9,9,56:44,12,57,1.6764705882352942
24/25,8,Lens,34,15,7,12,42:39,3,52,1.5294117647058822
24/25,9,Brest,34,15,5,14,52:59,-7,50,1.4705882352941178
24/25,10,Toulouse,34,11,9,14,44:43,1,42,1.2352941176470589
24/25,11,AJ Auxerre,34,11,9,14,48:51,-3,42,1.2352941176470589
24/25,12,Rennes,34,13,2,19,51:50,1,41,1.2058823529411764
24/25,13,Nantes,34,8,12,14,39:52,-13,36,1.0588235294117647
24/25,14,Angers,34,10,6,18,32:53,-21,36,1.0588235294117647
24/25,15,Le Havre,34,10,4,20,40:71,-31,34,1.0
24/25,16,Reims,34,8,9,17,33:47,-14,33,0.9705882352941176
24/25,17,St.-Étienne,34,8,6,20,39:77,-38,30,0.8823529411764706
24/25,18,Montpellier,34,4,4,26,23:79,-56,16,0.47058823529411764
23/24,1,PSG,34,22,10,2,81:33,48,76,2.235294117647059
23/24,2,Monaco,34,20,7,7,68:42,26,67,1.9705882352941178
23/24,3,Brest,34,17,10,7,53:34,19,61,1.7941176470588236
23/24,4,Lille,34,16,11,7,52:34,18,59,1.7352941176470589
23/24,5,Nice,34,15,10,9,40:29,11,55,1.6176470588235294
23/24,6,Lyon,34,16,5,13,49:55,-6,53,1.5588235294117647
23/24,7,Lens,34,14,9,11,45:37,8,51,1.5
23/24,8,Marsilya,34,13,11,10,52:41,11,50,1.4705882352941178
23/24,9,Reims,34,13,8,13,42:47,-5,47,1.3823529411764706
23/24,10,Rennes,34,12,10,12,53:46,7,46,1.3529411764705883
23/24,11,Toulouse,34,11,10,13,42:46,-4,43,1.2647058823529411
23/24,12,Montpellier,34,10,12,12,43:48,-5,41,1.2058823529411764
23/24,13,Strasbourg,34,10,9,15,38:50,-12,39,1.1470588235294117
23/24,14,Nantes,34,9,6,19,30:55,-25,33,0.9705882352941176
23/24,15,Le Havre,34,7,11,16,34:45,-11,32,0.9411764705882353
23/24,16,Metz,34,8,5,21,35:58,-23,29,0.8529411764705882
23/24,17,Lorient,34,7,8,19,43:66,-23,29,0.8529411764705882
23/24,18,Clermont,34,5,10,19,26:60,-34,25,0.7352941176470589
22/23,1,PSG,38,27,4,7,89:40,49,85,2.236842105263158
22/23,2,Lens,38,25,9,4,68:29,39,84,2.210526315789474
22/23,3,Marsilya,38,22,7,9,67:40,27,73,1.9210526315789473
22/23,4,Rennes,38,21,5,12,69:39,30,68,1.7894736842105263
22/23,5,Lille,38,19,10,9,65:44,21,67,1.763157894736842
22/23,6,Monaco,38,19,8,11,70:58,12,65,1.7105263157894737
22/23,7,Lyon,38,18,8,12,65:47,18,62,1.631578947368421
22/23,8,Clermont,38,17,8,13,45:49,-4,59,1.5526315789473684
22/23,9,Nice,38,15,13,10,48:37,11,58,1.5263157894736843
22/23,10,Lorient,38,15,10,13,52:53,-1,55,1.4473684210526316
22/23,11,Reims,38,12,15,11,45:45,0,51,1.3421052631578947
22/23,12,Montpellier,38,15,5,18,65:62,3,50,1.3157894736842106
22/23,13,Toulouse,38,13,9,16,51:57,-6,48,1.263157894736842
22/23,14,Brest,38,11,11,16,44:54,-10,44,1.1578947368421053
22/23,15,Strasbourg,38,9,13,16,51:59,-8,40,1.0526315789473684
22/23,16,Nantes,38,7,15,16,37:55,-18,36,0.9473684210526315
22/23,17,AJ Auxerre,38,8,11,19,35:63,-28,35,0.9210526315789473
22/23,18,AC Ajaccio,38,7,5,26,23:74,-51,26,0.6842105263157895
22/23,19,Troyes,38,4,12,22,45:81,-36,24,0.631578947368421
22/23,20,Angers,38,4,6,28,33:81,-48,18,0.47368421052631576
21/22,1,PSG,38,26,8,4,90:36,54,86,2.263157894736842
21/22,2,Marsilya,38,21,8,9,63:38,25,71,1.868421052631579
21/22,3,Monaco,38,20,9,9,65:40,25,69,1.8157894736842106
21/22,4,Rennes,38,20,6,12,82:40,42,66,1.736842105263158
21/22,5,Nice,38,20,7,11,52:36,16,66,1.736842105263158
21/22,6,Strasbourg,38,17,12,9,60:43,17,63,1.6578947368421053
21/22,7,Lens,38,17,11,10,62:48,14,62,1.631578947368421
21/22,8,Lyon,38,17,11,10,66:51,15,61,1.605263157894737
21/22,9,Nantes,38,15,10,13,55:48,7,55,1.4473684210526316
21/22,10,Lille,38,14,13,11,48:48,0,55,1.4473684210526316
21/22,11,Brest,38,13,9,16,49:57,-8,48,1.263157894736842
21/22,12,Reims,38,11,13,14,43:44,-1,46,1.2105263157894737
21/22,13,Montpellier,38,12,7,19,49:61,-12,43,1.131578947368421
21/22,14,Angers,38,10,11,17,44:55,-11,41,1.0789473684210527
21/22,15,Troyes,38,9,11,18,37:53,-16,38,1.0
21/22,16,Lorient,38,8,12,18,35:63,-28,36,0.9473684210526315
21/22,17,Clermont,38,9,9,20,38:69,-31,36,0.9473684210526315
21/22,18,St.-Étienne,38,7,11,20,42:77,-35,32,0.8421052631578947
21/22,19,Metz,38,6,13,19,35:69,-34,31,0.8157894736842105
21/22,20,G. Bordeaux,38,6,13,19,52:91,-39,31,0.8157894736842105
20/21,1,Lille,38,24,11,3,64:23,41,83,2.1842105263157894
20/21,2,PSG,38,26,4,8,86:28,58,82,2.1578947368421053
20/21,3,Monaco,38,24,6,8,76:42,34,78,2.0526315789473686
20/21,4,Lyon,38,22,10,6,81:43,38,76,2.0
20/21,5,Marsilya,38,16,12,10,54:47,7,60,1.5789473684210527
20/21,6,Rennes,38,16,10,12,52:40,12,58,1.5263157894736843
20/21,7,Lens,38,15,12,11,55:54,1,57,1.5
20/21,8,Montpellier,38,14,12,12,60:62,-2,54,1.4210526315789473
20/21,9,Nice,38,15,7,16,50:53,-3,52,1.368421052631579
20/21,10,Metz,38,12,11,15,44:48,-4,47,1.236842105263158
20/21,11,St.-Étienne,38,12,10,16,42:54,-12,46,1.2105263157894737
20/21,12,G. Bordeaux,38,13,6,19,42:56,-14,45,1.1842105263157894
20/21,13,Angers,38,12,8,18,40:58,-18,44,1.1578947368421053
20/21,14,Reims,38,9,15,14,42:50,-8,42,1.105263157894737
20/21,15,Strasbourg,38,11,9,18,49:58,-9,42,1.105263157894737
20/21,16,Lorient,38,11,9,18,50:68,-18,42,1.105263157894737
20/21,17,Brest,38,11,8,19,50:66,-16,41,1.0789473684210527
20/21,18,Nantes,38,9,13,16,47:55,-8,40,1.0526315789473684
20/21,19,Nîmes Olympique,38,9,8,21,40:71,-31,35,0.9210526315789473
20/21,20,Dijon,38,4,9,25,25:73,-48,21,0.5526315789473685
19/20,1,PSG,27,22,2,3,75:24,51,68,2.5185185185185186
19/20,2,Marsilya,28,16,8,4,41:29,12,56,2.0
19/20,3,Rennes,28,15,5,8,38:24,14,50,1.7857142857142858
19/20,4,Lille,28,15,4,9,35:27,8,49,1.75
19/20,5,Reims,28,10,11,7,26:21,5,41,1.4642857142857142
19/20,6,Nice,28,11,8,9,41:38,3,41,1.4642857142857142
19/20,7,Lyon,28,11,7,10,42:27,15,40,1.4285714285714286
19/20,8,Montpellier,28,11,7,10,35:34,1,40,1.4285714285714286
19/20,9,Monaco,28,11,7,10,44:44,0,40,1.4285714285714286
19/20,10,Strasbourg,27,11,5,11,32:32,0,38,1.4074074074074074
19/20,11,Angers,28,11,6,11,28:33,-5,39,1.3928571428571428
19/20,12,G. Bordeaux,28,9,10,9,40:34,6,37,1.3214285714285714
19/20,13,Nantes,28,11,4,13,28:31,-3,37,1.3214285714285714
19/20,14,Brest,28,8,10,10,34:37,-3,34,1.2142857142857142
19/20,15,Metz,28,8,10,10,27:35,-8,34,1.2142857142857142
19/20,16,Dijon,28,7,9,12,27:37,-10,30,1.0714285714285714
19/20,17,St.-Étienne,28,8,6,14,29:45,-16,30,1.0714285714285714
19/20,18,Nîmes Olympique,28,7,6,15,29:44,-15,27,0.9642857142857143
19/20,19,Amiens SC,28,4,11,13,31:50,-19,23,0.8214285714285714
19/20,20,Toulouse,28,3,4,21,22:58,-36,13,0.4642857142857143
18/19,1,PSG,38,29,4,5,105:35,70,91,2.3947368421052633
18/19,2,Lille,38,22,9,7,68:33,35,75,1.9736842105263157
18/19,3,Lyon,38,21,9,8,70:47,23,72,1.894736842105263
18/19,4,St.-Étienne,38,19,9,10,59:41,18,66,1.736842105263158
18/19,5,Marsilya,38,18,7,13,60:52,8,61,1.605263157894737
18/19,6,Montpellier,38,15,14,9,53:42,11,59,1.5526315789473684
18/19,7,Nice,38,15,11,12,30:35,-5,56,1.4736842105263157
18/19,8,Reims,38,13,16,9,39:42,-3,55,1.4473684210526316
18/19,9,Nîmes Olympique,38,15,8,15,57:58,-1,53,1.394736842105263
18/19,10,Rennes,38,13,13,12,55:52,3,52,1.368421052631579
18/19,11,Strasbourg,38,11,16,11,58:48,10,49,1.2894736842105263
18/19,12,Nantes,38,13,9,16,48:48,0,48,1.263157894736842
18/19,13,Angers,38,10,16,12,44:49,-5,46,1.2105263157894737
18/19,14,G. Bordeaux,38,10,11,17,34:42,-8,41,1.0789473684210527
18/19,15,Amiens SC,38,9,11,18,31:52,-21,38,1.0
18/19,16,Toulouse,38,8,14,16,35:57,-22,38,1.0
18/19,17,Monaco,38,8,12,18,38:57,-19,36,0.9473684210526315
18/19,18,Dijon,38,9,7,22,31:60,-29,34,0.8947368421052632
18/19,19,SM Caen,38,7,12,19,29:54,-25,33,0.868421052631579
18/19,20,Guingamp,38,5,12,21,28:68,-40,27,0.7105263157894737
17/18,1,PSG,38,29,6,3,108:29,79,93,2.4473684210526314
17/18,2,Monaco,38,24,8,6,85:45,40,80,2.1052631578947367
17/18,3,Lyon,38,23,9,6,87:43,44,78,2.0526315789473686
17/18,4,Marsilya,38,22,11,5,80:47,33,77,2.026315789473684
17/18,5,Rennes,38,16,10,12,50:44,6,58,1.5263157894736843
17/18,6,G. Bordeaux,38,16,7,15,53:48,5,55,1.4473684210526316
17/18,7,St.-Étienne,38,15,10,13,47:50,-3,55,1.4473684210526316
17/18,8,Nice,38,15,9,14,53:52,1,54,1.4210526315789473
17/18,9,Nantes,38,14,10,14,36:41,-5,52,1.368421052631579
17/18,10,Montpellier,38,11,18,9,36:33,3,51,1.3421052631578947
17/18,11,Dijon,38,13,9,16,55:73,-18,48,1.263157894736842
17/18,12,Guingamp,38,12,11,15,48:59,-11,47,1.236842105263158
17/18,13,Amiens SC,38,12,9,17,37:42,-5,45,1.1842105263157894
17/18,14,Angers,38,9,14,15,42:52,-10,41,1.0789473684210527
17/18,15,Strasbourg,38,9,11,18,44:67,-23,38,1.0
17/18,16,SM Caen,38,10,8,20,27:52,-25,38,1.0
17/18,17,Lille,38,10,8,20,41:67,-26,38,1.0
17/18,18,Toulouse,38,9,10,19,38:54,-16,37,0.9736842105263158
17/18,19,Troyes,38,9,6,23,32:59,-27,33,0.868421052631579
17/18,20,Metz,38,6,8,24,34:76,-42,26,0.6842105263157895
16/17,1,Monaco,38,30,5,3,107:31,76,95,2.5
16/17,2,PSG,38,27,6,5,83:27,56,87,2.289473684210526
16/17,3,Nice,38,22,12,4,63:36,27,78,2.0526315789473686
16/17,4,Lyon,38,20,5,13,77:48,29,67,1.763157894736842
16/17,5,Marsilya,38,17,11,10,57:41,16,62,1.631578947368421
16/17,6,G. Bordeaux,38,15,14,9,53:43,10,59,1.5526315789473684
16/17,7,Nantes,38,14,9,15,40:54,-14,51,1.3421052631578947
16/17,8,St.-Étienne,38,12,14,12,41:42,-1,50,1.3157894736842106
16/17,9,Rennes,38,12,14,12,36:42,-6,50,1.3157894736842106
16/17,10,Guingamp,38,14,8,16,46:53,-7,50,1.3157894736842106
16/17,11,Lille,38,13,7,18,40:47,-7,46,1.2105263157894737
16/17,12,Angers,38,13,7,18,40:49,-9,46,1.2105263157894737
16/17,13,Toulouse,38,10,14,14,37:41,-4,44,1.1578947368421053
16/17,14,Metz,38,11,10,17,39:72,-33,43,1.131578947368421
16/17,15,Montpellier,38,10,9,19,48:66,-18,39,1.0263157894736843
16/17,16,Dijon,38,8,13,17,46:58,-12,37,0.9736842105263158
16/17,17,SM Caen,38,10,7,21,36:65,-29,37,0.9736842105263158
16/17,18,Lorient,38,10,6,22,44:70,-26,36,0.9473684210526315
16/17,19,AS Nancy,38,9,8,21,29:52,-23,35,0.9210526315789473
16/17,20,Bastia,38,8,11,19,29:54,-25,34,0.8947368421052632
15/16,1,PSG,38,30,6,2,102:19,83,96,2.526315789473684
15/16,2,Lyon,38,19,8,11,67:43,24,65,1.7105263157894737
15/16,3,Monaco,38,17,14,7,57:50,7,65,1.7105263157894737
15/16,4,Nice,38,18,9,11,58:41,17,63,1.6578947368421053
15/16,5,Lille,38,15,15,8,39:27,12,60,1.5789473684210527
15/16,6,St.-Étienne,38,17,7,14,42:37,5,58,1.5263157894736843
15/16,7,SM Caen,38,16,6,16,39:52,-13,54,1.4210526315789473
15/16,8,Rennes,38,13,13,12,52:54,-2,52,1.368421052631579
15/16,9,Angers,38,13,11,14,40:38,2,50,1.3157894736842106
15/16,10,Bastia,38,14,8,16,36:42,-6,50,1.3157894736842106
15/16,11,G. Bordeaux,38,12,14,12,50:57,-7,50,1.3157894736842106
15/16,12,Montpellier,38,14,7,17,49:47,2,49,1.2894736842105263
15/16,13,Marsilya,38,10,18,10,48:42,6,48,1.263157894736842
15/16,14,Nantes,38,12,12,14,33:44,-11,48,1.263157894736842
15/16,15,Lorient,38,11,13,14,47:58,-11,46,1.2105263157894737
15/16,16,Guingamp,38,11,11,16,47:56,-9,44,1.1578947368421053
15/16,17,Toulouse,38,9,13,16,45:55,-10,40,1.0526315789473684
15/16,18,Reims,38,10,9,19,44:57,-13,39,1.0263157894736843
15/16,19,Ajaccio,38,8,13,17,37:58,-21,37,0.9736842105263158
15/16,20,Troyes,38,3,9,26,28:83,-55,18,0.47368421052631576
