Season,Position,Team,Matches,Wins,Draws,Losses,Goals,Goal Difference,Points,Pts/Match
24/25,1,Liverpool,38,25,9,4,86:41,45,84,2.210526315789474
24/25,2,Arsenal,38,20,14,4,69:34,35,74,1.9473684210526316
24/25,3,Man City,38,21,8,9,72:44,28,71,1.868421052631579
24/25,4,Chelsea,38,20,9,9,64:43,21,69,1.8157894736842106
24/25,5,Newcastle,38,20,6,12,68:47,21,66,1.736842105263158
24/25,6,Aston Villa,38,19,9,10,58:51,7,66,1.736842105263158
24/25,7,Nottingham,38,19,8,11,58:46,12,65,1.7105263157894737
24/25,8,Brighton,38,16,13,9,66:59,7,61,1.605263157894737
24/25,9,Bournemouth,38,15,11,12,58:46,12,56,1.4736842105263157
24/25,10,Brentford,38,16,8,14,66:57,9,56,1.4736842105263157
24/25,11,Fulham,38,15,9,14,54:54,0,54,1.4210526315789473
24/25,12,Crystal Palace,38,13,14,11,51:51,0,53,1.394736842105263
24/25,13,Everton,38,11,15,12,42:44,-2,48,1.263157894736842
24/25,14,West Ham,38,11,10,17,46:62,-16,43,1.131578947368421
24/25,15,Man United,38,11,9,18,44:54,-10,42,1.105263157894737
24/25,16,Wolves,38,12,6,20,54:69,-15,42,1.105263157894737
24/25,17,Tottenham,38,11,5,22,64:65,-1,38,1.0
24/25,18,Leicester,38,6,7,25,33:80,-47,25,0.6578947368421053
24/25,19,Ipswich,38,4,10,24,36:82,-46,22,0.5789473684210527
24/25,20,Southampton,38,2,6,30,26:86,-60,12,0.3157894736842105
23/24,1,Man City,38,28,7,3,96:34,62,91,2.3947368421052633
23/24,2,Arsenal,38,28,5,5,91:29,62,89,2.3421052631578947
23/24,3,Liverpool,38,24,10,4,86:41,45,82,2.1578947368421053
23/24,4,Aston Villa,38,20,8,10,76:61,15,68,1.7894736842105263
23/24,5,Tottenham,38,20,6,12,74:61,13,66,1.736842105263158
23/24,6,Chelsea,38,18,9,11,77:63,14,63,1.6578947368421053
23/24,7,Newcastle,38,18,6,14,85:62,23,60,1.5789473684210527
23/24,8,Man United,38,18,6,14,57:58,-1,60,1.5789473684210527
23/24,9,West Ham,38,14,10,14,60:74,-14,52,1.368421052631579
23/24,10,Crystal Palace,38,13,10,15,57:58,-1,49,1.2894736842105263
23/24,11,Brighton,38,12,12,14,55:62,-7,48,1.263157894736842
23/24,12,Bournemouth,38,13,9,16,54:67,-13,48,1.263157894736842
23/24,13,Fulham,38,13,8,17,55:61,-6,47,1.236842105263158
23/24,14,Wolves,38,13,7,18,50:65,-15,46,1.2105263157894737
23/24,15,Everton,38,13,9,16,40:51,-11,40,1.0526315789473684
23/24,16,Brentford,38,10,9,19,56:65,-9,39,1.0263157894736843
23/24,17,Nottingham,38,9,9,20,49:67,-18,32,0.8421052631578947
23/24,18,Luton,38,6,8,24,52:85,-33,26,0.6842105263157895
23/24,19,Burnley,38,5,9,24,41:78,-37,24,0.631578947368421
23/24,20,Sheffield Utd,38,3,7,28,35:104,-69,16,0.42105263157894735
22/23,1,Man City,38,28,5,5,94:33,61,89,2.3421052631578947
22/23,2,Arsenal,38,26,6,6,88:43,45,84,2.210526315789474
22/23,3,Man United,38,23,6,9,58:43,15,75,1.9736842105263157
22/23,4,Newcastle,38,19,14,5,68:33,35,71,1.868421052631579
22/23,5,Liverpool,38,19,10,9,75:47,28,67,1.763157894736842
22/23,6,Brighton,38,18,8,12,72:53,19,62,1.631578947368421
22/23,7,Aston Villa,38,18,7,13,51:46,5,61,1.605263157894737
22/23,8,Tottenham,38,18,6,14,70:63,7,60,1.5789473684210527
22/23,9,Brentford,38,15,14,9,58:46,12,59,1.5526315789473684
22/23,10,Fulham,38,15,7,16,55:53,2,52,1.368421052631579
