Season,Position,Team,Matches,Wins,Draws,Losses,Goals,Goal Difference,Points,Pts/Match
24/25,1,Napoli,38,24,10,4,59:27,32,82,2.1578947368421053
24/25,2,Inter,38,24,9,5,79:35,44,81,2.1315789473684212
24/25,3,Atalanta,38,22,8,8,78:37,41,74,1.9473684210526316
24/25,4,Juventus,38,18,16,4,58:35,23,70,1.8421052631578947
24/25,5,Roma,38,20,9,9,56:35,21,69,1.8157894736842106
24/25,6,Fiorentina,38,19,8,11,60:41,19,65,1.7105263157894737
24/25,7,Lazio,38,18,11,9,61:49,12,65,1.7105263157894737
24/25,8,Milan,38,18,9,11,61:43,18,63,1.6578947368421053
24/25,9,Bologna,38,16,14,8,57:47,10,62,1.631578947368421
24/25,10,Como,38,13,10,15,49:52,-3,49,1.2894736842105263
24/25,11,Torino,38,10,14,14,39:45,-6,44,1.1578947368421053
24/25,12,Udinese,38,12,8,18,41:56,-15,44,1.1578947368421053
24/25,13,Genoa,38,10,13,15,37:49,-12,43,1.131578947368421
24/25,14,Verona,38,10,7,21,34:66,-32,37,0.9736842105263158
24/25,15,Cagliari,38,9,9,20,40:56,-16,36,0.9473684210526315
24/25,16,Parma,38,7,15,16,44:58,-14,36,0.9473684210526315
24/25,17,Lecce,38,8,10,20,27:58,-31,34,0.8947368421052632
24/25,18,Empoli,38,6,13,19,33:59,-26,31,0.8157894736842105
24/25,19,Venezia,38,5,14,19,32:56,-24,29,0.7631578947368421
24/25,20,Monza,38,3,9,26,28:69,-41,18,0.47368421052631576
23/24,1,Inter,38,29,7,2,89:22,67,94,2.473684210526316
23/24,2,Milan,38,22,9,7,76:49,27,75,1.9736842105263157
23/24,3,Juventus,38,19,14,5,54:31,23,71,1.868421052631579
23/24,4,Atalanta,38,21,6,11,72:42,30,69,1.8157894736842106
23/24,5,Bologna,38,18,14,6,54:32,22,68,1.7894736842105263
23/24,6,Roma,38,18,9,11,65:46,19,63,1.6578947368421053
23/24,7,Lazio,38,18,7,13,49:39,10,61,1.605263157894737
23/24,8,Fiorentina,38,17,9,12,61:46,15,60,1.5789473684210527
23/24,9,Torino,38,13,14,11,36:36,0,53,1.394736842105263
23/24,10,Napoli,38,13,14,11,55:48,7,53,1.394736842105263
23/24,11,Genoa,38,12,13,13,45:45,0,49,1.2894736842105263
23/24,12,Monza,38,11,12,15,39:51,-12,45,1.1842105263157894
23/24,13,Verona,38,9,11,18,38:51,-13,38,1.0
23/24,14,Lecce,38,8,14,16,32:54,-22,38,1.0
23/24,15,Udinese,38,6,19,13,37:53,-16,37,0.9736842105263158
23/24,16,Cagliari,38,8,12,18,42:68,-26,36,0.9473684210526315
23/24,17,Empoli,38,9,9,20,29:54,-25,36,0.9473684210526315
23/24,18,Frosinone,38,8,11,19,44:69,-25,35,0.9210526315789473
23/24,19,Sassuolo,38,7,9,22,43:75,-32,30,0.7894736842105263
23/24,20,Salernitana,38,2,11,25,32:81,-49,17,0.4473684210526316
22/23,1,Napoli,38,28,6,4,77:28,49,90,2.3684210526315788
22/23,2,Lazio,38,22,8,8,60:30,30,74,1.9473684210526316
22/23,3,Inter,38,23,3,12,71:42,29,72,1.894736842105263
22/23,4,Milan,38,20,10,8,64:43,21,70,1.8421052631578947
22/23,5,Atalanta,38,19,7,12,66:48,18,64,1.6842105263157894
22/23,6,Roma,38,18,9,11,50:38,12,63,1.6578947368421053
22/23,7,Juventus,38,22,6,10,56:33,23,62,1.631578947368421
22/23,8,Fiorentina,38,15,11,12,53:43,10,56,1.4736842105263157
22/23,9,Bologna,38,14,12,12,53:49,4,54,1.4210526315789473
22/23,10,Torino,38,14,11,13,42:41,1,53,1.394736842105263
22/23,11,Monza,38,14,10,14,48:52,-4,52,1.368421052631579
22/23,12,Udinese,38,11,13,14,47:48,-1,46,1.2105263157894737
22/23,13,Sassuolo,38,12,9,17,47:61,-14,45,1.1842105263157894
22/23,14,Empoli,38,10,13,15,37:49,-12,43,1.131578947368421
22/23,15,Salernitana,38,9,15,14,48:62,-14,42,1.105263157894737
22/23,16,Lecce,38,8,12,18,33:46,-13,36,0.9473684210526315
22/23,17,Spezia Calcio,38,6,13,19,31:62,-31,31,0.8157894736842105
22/23,18,Verona,38,7,10,21,31:59,-28,31,0.8157894736842105
22/23,19,Cremonese,38,5,12,21,36:69,-33,27,0.7105263157894737
22/23,20,Sampdoria,38,3,10,25,24:71,-47,19,0.5
21/22,1,Milan,38,26,8,4,69:31,38,86,2.263157894736842
21/22,2,Inter,38,25,9,4,84:32,52,84,2.210526315789474
21/22,3,Napoli,38,24,7,7,74:31,43,79,2.0789473684210527
21/22,4,Juventus,38,20,10,8,57:37,20,70,1.8421052631578947
21/22,5,Lazio,38,18,10,10,77:58,19,64,1.6842105263157894
21/22,6,Roma,38,18,9,11,59:43,16,63,1.6578947368421053
21/22,7,Fiorentina,38,19,5,14,59:51,8,62,1.631578947368421
21/22,8,Atalanta,38,16,11,11,65:48,17,59,1.5526315789473684
21/22,9,Verona,38,14,11,13,65:59,6,53,1.394736842105263
21/22,10,Torino,38,13,11,14,46:41,5,50,1.3157894736842106
21/22,11,Sassuolo,38,13,11,14,64:66,-2,50,1.3157894736842106
21/22,12,Udinese,38,11,14,13,61:58,3,47,1.236842105263158
21/22,13,Bologna,38,12,10,16,44:55,-11,46,1.2105263157894737
21/22,14,Empoli,38,10,11,17,50:70,-20,41,1.0789473684210527
21/22,15,Sampdoria,38,10,6,22,46:63,-17,36,0.9473684210526315
21/22,16,Spezia Calcio,38,10,6,22,41:71,-30,36,0.9473684210526315
21/22,17,Salernitana,38,7,10,21,33:78,-45,31,0.8157894736842105
21/22,18,Cagliari,38,6,12,20,34:68,-34,30,0.7894736842105263
21/22,19,Genoa,38,4,16,18,27:60,-33,28,0.7368421052631579
21/22,20,Venezia,38,6,9,23,34:69,-35,27,0.7105263157894737
20/21,1,Inter,38,28,7,3,89:35,54,91,2.3947368421052633
20/21,2,Milan,38,24,7,7,74:41,33,79,2.0789473684210527
20/21,3,Atalanta,38,23,9,6,90:47,43,78,2.0526315789473686
20/21,4,Juventus,38,23,9,6,77:38,39,78,2.0526315789473686
20/21,5,Napoli,38,24,5,9,86:41,45,77,2.026315789473684
20/21,6,Lazio,38,21,5,12,61:55,6,68,1.7894736842105263
20/21,7,Roma,38,18,8,12,68:58,10,62,1.631578947368421
20/21,8,Sassuolo,38,17,11,10,64:56,8,62,1.631578947368421
20/21,9,Sampdoria,38,15,7,16,52:54,-2,52,1.368421052631579
20/21,10,Verona,38,11,12,15,46:48,-2,45,1.1842105263157894
20/21,11,Genoa,38,10,12,16,47:58,-11,42,1.105263157894737
20/21,12,Bologna,38,10,11,17,51:65,-14,41,1.0789473684210527
20/21,13,Fiorentina,38,9,13,16,47:59,-12,40,1.0526315789473684
20/21,14,Udinese,38,10,10,18,42:58,-16,40,1.0526315789473684
20/21,15,Spezia Calcio,38,9,12,17,52:72,-20,39,1.0263157894736843
20/21,16,Cagliari,38,9,10,19,43:59,-16,37,0.9736842105263158
20/21,17,Torino,38,7,16,15,50:69,-19,37,0.9736842105263158
20/21,18,Benevento,38,7,12,19,40:75,-35,33,0.868421052631579
20/21,19,Crotone,38,6,5,27,45:92,-47,23,0.6052631578947368
20/21,20,Parma,38,3,11,24,39:83,-44,20,0.5263157894736842
19/20,1,Juventus,38,26,5,7,76:43,33,83,2.1842105263157894
19/20,2,Inter,38,24,10,4,81:36,45,82,2.1578947368421053
19/20,3,Atalanta,38,23,9,6,98:48,50,78,2.0526315789473686
19/20,4,Lazio,38,24,6,8,79:42,37,78,2.0526315789473686
19/20,5,Roma,38,21,7,10,77:51,26,70,1.8421052631578947
19/20,6,Milan,38,19,9,10,63:46,17,66,1.736842105263158
19/20,7,Napoli,38,18,8,12,61:50,11,62,1.631578947368421
19/20,8,Sassuolo,38,14,9,15,69:63,6,51,1.3421052631578947
19/20,9,Verona,38,12,13,13,47:51,-4,49,1.2894736842105263
19/20,10,Fiorentina,38,12,13,13,51:48,3,49,1.2894736842105263
19/20,11,Parma,38,14,7,17,56:57,-1,49,1.2894736842105263
19/20,12,Bologna,38,12,11,15,52:65,-13,47,1.236842105263158
19/20,13,Udinese,38,12,9,17,37:51,-14,45,1.1842105263157894
19/20,14,Cagliari,38,11,12,15,52:56,-4,45,1.1842105263157894
19/20,15,Sampdoria,38,12,6,20,48:65,-17,42,1.105263157894737
19/20,16,Torino,38,11,7,20,46:68,-22,40,1.0526315789473684
19/20,17,Genoa,38,10,9,19,47:73,-26,39,1.0263157894736843
19/20,18,Lecce,38,9,8,21,52:85,-33,35,0.9210526315789473
19/20,19,Brescia,38,6,7,25,35:79,-44,25,0.6578947368421053
19/20,20,SPAL,38,5,5,28,27:77,-50,20,0.5263157894736842
18/19,1,Juventus,38,28,6,4,70:30,40,90,2.3684210526315788
18/19,2,Napoli,38,24,7,7,74:36,38,79,2.0789473684210527
18/19,3,Atalanta,38,20,9,9,77:46,31,69,1.8157894736842106
18/19,4,Inter,38,20,9,9,57:33,24,69,1.8157894736842106
18/19,5,Milan,38,19,11,8,55:36,19,68,1.7894736842105263
18/19,6,Roma,38,18,12,8,66:48,18,66,1.736842105263158
18/19,7,Torino,38,16,15,7,52:37,15,63,1.6578947368421053
18/19,8,Lazio,38,17,8,13,56:46,10,59,1.5526315789473684
18/19,9,Sampdoria,38,15,8,15,60:51,9,53,1.394736842105263
18/19,10,Bologna,38,11,11,16,48:56,-8,44,1.1578947368421053
18/19,11,Sassuolo,38,9,16,13,53:60,-7,43,1.131578947368421
18/19,12,Udinese,38,11,10,17,39:53,-14,43,1.131578947368421
18/19,13,SPAL,38,11,9,18,44:56,-12,42,1.105263157894737
18/19,14,Parma,38,10,11,17,41:61,-20,41,1.0789473684210527
18/19,15,Cagliari,38,10,11,17,36:54,-18,41,1.0789473684210527
18/19,16,Fiorentina,38,8,17,13,47:45,2,41,1.0789473684210527
18/19,17,Genoa,38,8,14,16,39:57,-18,38,1.0
18/19,18,Empoli,38,10,8,20,51:70,-19,38,1.0
18/19,19,Frosinone,38,5,10,23,29:69,-40,25,0.6578947368421053
18/19,20,Chievo Verona,38,2,14,22,25:75,-50,17,0.4473684210526316
17/18,1,Juventus,38,30,5,3,86:24,62,95,2.5
17/18,2,Napoli,38,28,7,3,77:29,48,91,2.3947368421052633
17/18,3,Roma,38,23,8,7,61:28,33,77,2.026315789473684
17/18,4,Inter,38,20,12,6,66:30,36,72,1.894736842105263
17/18,5,Lazio,38,21,9,8,89:49,40,72,1.894736842105263
17/18,6,Milan,38,18,10,10,56:42,14,64,1.6842105263157894
17/18,7,Atalanta,38,16,12,10,57:39,18,60,1.5789473684210527
17/18,8,Fiorentina,38,16,9,13,54:46,8,57,1.5
17/18,9,Torino,38,13,15,10,54:46,8,54,1.4210526315789473
17/18,10,Sampdoria,38,16,6,16,56:60,-4,54,1.4210526315789473
17/18,11,Sassuolo,38,11,10,17,29:59,-30,43,1.131578947368421
17/18,12,Genoa,38,11,8,19,33:43,-10,41,1.0789473684210527
17/18,13,Chievo Verona,38,10,10,18,36:59,-23,40,1.0526315789473684
17/18,14,Udinese,38,12,4,22,48:63,-15,40,1.0526315789473684
17/18,15,Bologna,38,11,6,21,40:52,-12,39,1.0263157894736843
17/18,16,Cagliari,38,11,6,21,33:61,-28,39,1.0263157894736843
17/18,17,SPAL,38,8,14,16,39:59,-20,38,1.0
17/18,18,Crotone,38,9,8,21,40:66,-26,35,0.9210526315789473
17/18,19,Verona,38,7,4,27,30:78,-48,25,0.6578947368421053
17/18,20,Benevento,38,6,3,29,33:84,-51,21,0.5526315789473685
16/17,1,Juventus,38,29,4,5,77:27,50,91,2.3947368421052633
16/17,2,Roma,38,28,3,7,90:38,52,87,2.289473684210526
16/17,3,Napoli,38,26,8,4,94:39,55,86,2.263157894736842
16/17,4,Atalanta,38,21,9,8,62:41,21,72,1.894736842105263
16/17,5,Lazio,38,21,7,10,74:51,23,70,1.8421052631578947
16/17,6,Milan,38,18,9,11,57:45,12,63,1.6578947368421053
16/17,7,Inter,38,19,5,14,72:49,23,62,1.631578947368421
