Season,Position,Team,Matches,Wins,Draws,Losses,Goals,Goal Difference,Points,Pts/Match
24/25,1,Galatasaray,36,30,5,1,91:31,60,95,2.638888888888889
24/25,2,Fenerbahçe,36,26,6,4,90:39,51,84,2.3333333333333335
24/25,3,Samsunspor,36,19,7,10,55:41,14,64,1.7777777777777777
24/25,4,Beşiktaş,36,17,11,8,59:36,23,62,1.7222222222222223
24/25,5,Başakşehir,36,16,6,14,60:56,4,54,1.5
24/25,6,Eyüpspor,36,15,8,13,52:47,5,53,1.4722222222222223
24/25,7,Trabzonspor,36,13,12,11,58:45,13,51,1.4166666666666667
24/25,8,Göztepe,36,13,11,12,59:50,9,50,1.3888888888888888
24/25,9,Ç. Rizespor,36,15,4,17,52:58,-6,49,1.3611111111111112
24/25,10,Kasımpaşa,36,11,14,11,62:63,-1,47,1.3055555555555556
24/25,11,Konyaspor,36,13,7,16,45:50,-5,46,1.2777777777777777
24/25,12,Alanyaspor,36,12,9,15,43:50,-7,45,1.25
24/25,13,Kayserispor,36,11,12,13,45:57,-12,45,1.25
24/25,14,Gaziantep FK,36,12,9,15,45:50,-5,45,1.25
24/25,15,Antalyaspor,36,12,8,16,37:62,-25,44,1.2222222222222223
24/25,16,Bodrum FK,36,9,10,17,26:43,-17,37,1.0277777777777777
24/25,17,Sivasspor,36,9,8,19,44:60,-16,35,0.9722222222222222
24/25,18,Hatayspor,36,6,8,22,47:74,-27,26,0.7222222222222222
24/25,19,Adana Demirspor,36,3,5,28,34:92,-58,2,0.05555555555555555
23/24,1,Galatasaray,38,33,3,2,92:26,66,102,2.6842105263157894
23/24,2,Fenerbahçe,38,31,6,1,99:31,68,99,2.6052631578947367
23/24,3,Trabzonspor,38,21,4,13,69:50,19,67,1.763157894736842
23/24,4,Başakşehir,38,18,7,13,57:43,14,61,1.605263157894737
23/24,5,Kasımpaşa,38,16,8,14,62:65,-3,56,1.4736842105263157
23/24,6,Beşiktaş,38,16,8,14,52:47,5,56,1.4736842105263157
23/24,7,Sivasspor,38,14,12,12,47:54,-7,54,1.4210526315789473
23/24,8,Alanyaspor,38,12,16,10,53:50,3,52,1.368421052631579
23/24,9,Ç. Rizespor,38,14,8,16,48:58,-10,50,1.3157894736842106
23/24,10,Antalyaspor,38,12,13,13,44:49,-5,49,1.2894736842105263
23/24,11,Gaziantep FK,38,12,8,18,50:57,-7,44,1.1578947368421053
23/24,12,Adana Demirspor,38,10,14,14,54:61,-7,44,1.1578947368421053
23/24,13,Samsunspor,38,11,10,17,42:52,-10,43,1.131578947368421
