,team,player_count,mean_age,foreigner_count,mean_player_market_value,total_market_value
0,Bayern Munich,35,25.7,22,€27.11m,€948.95m
1,Borussia Dortmund,37,25.1,20,€15.34m,€567.55m
2,RB Leipzig,29,26.0,19,€16.77m,€486.40m
3,Bayer 04 Leverkusen,35,24.8,25,€12.93m,€452.50m
4,Eintracht Frankfurt,36,25.6,22,€9.02m,€324.55m
5,Borussia Mönchengladbach,35,25.9,16,€6.91m,€241.68m
6,VfL Wolfsburg,33,25.1,20,€7.22m,€238.30m
7,SC Freiburg,29,26.5,11,€6.93m,€200.95m
8,TSG 1899 Hoffenheim,37,26.2,22,€4.83m,€178.80m
9,1.FC Union Berlin,36,27.4,17,€4.39m,€157.95m
10,VfB Stuttgart,39,23.7,23,€3.87m,€151.05m
11,1.FSV Mainz 05,34,25.2,17,€3.99m,€135.80m
12,FC Augsburg,42,25.6,25,€3.15m,€132.23m
13,1.FC Köln,39,25.4,15,€2.97m,€115.65m
14,Hertha BSC,41,25.8,24,€2.29m,€94.00m
15,SV Werder Bremen,33,25.2,11,€2.71m,€89.50m
16,FC Schalke 04,43,26.9,22,€2.04m,€87.78m
17,VfL Bochum,32,28.3,18,€1.68m,€53.70m
