,team,player_count,mean_age,foreigner_count,mean_player_market_value,total_market_value
0,Real Madrid,36,25.9,20,€25.65m,€923.45m
1,FC Barcelona,41,24.4,14,€20.41m,€836.80m
2,Atlético de Madrid,40,25.8,22,€13.36m,€534.30m
3,Real Sociedad,37,25.0,6,€11.94m,€441.70m
4,Villarreal CF,43,26.4,15,€8.45m,€363.50m
5,Valencia CF,40,24.5,18,€6.24m,€249.78m
6,Real Betis Balompié,38,27.6,13,€6.48m,€246.40m
7,Sevilla FC,42,26.8,23,€5.54m,€232.58m
8,Athletic Bilbao,31,27.1,1,€7.18m,€222.45m
9,CA Osasuna,31,27.2,4,€4.84m,€150.05m
10,Girona FC,37,25.6,13,€3.78m,€139.90m
11,Celta de Vigo,36,25.7,12,€3.86m,€138.80m
12,Getafe CF,34,26.5,14,€3.50m,€118.90m
13,RCD Espanyol Barcelona,37,25.9,11,€3.15m,€116.50m
14,UD Almería,36,25.9,18,€3.17m,€114.20m
15,RCD Mallorca,38,26.9,19,€2.82m,€107.00m
16,Rayo Vallecano,29,28.7,10,€3.57m,€103.40m
17,Real Valladolid CF,41,26.8,18,€2.21m,€90.75m
18,Elche CF,40,27.0,17,€1.69m,€67.50m
19,Cádiz CF,47,27.3,17,€1.40m,€65.60m
