,team,player_count,mean_age,foreigner_count,mean_player_market_value,total_market_value
0,Paris Saint-Germain,41,24.7,30,€19.63m,€805.00m
1,Olympique Lyon,40,24.7,29,€10.78m,€431.35m
2,AS Monaco,33,24.4,19,€11.22m,€370.35m
3,LOSC Lille,32,24.1,23,€10.10m,€323.20m
4,Stade Rennais FC,37,24.6,13,€8.04m,€297.50m
5,Olympique Marseille,37,25.5,19,€6.70m,€247.95m
6,OGC Nice,41,22.8,19,€5.76m,€236.10m
7,AS Saint-Étienne,43,24.1,19,€3.59m,€154.50m
8,Montpellier HSC,34,25.6,14,€3.35m,€113.85m
9,Angers SCO,38,26.2,19,€2.94m,€111.65m
10,RC Strasbourg Alsace,34,25.7,19,€3.23m,€109.65m
11,FC Girondins Bordeaux,36,26.0,19,€2.94m,€105.70m
12,Stade Reims,34,23.6,26,€3.09m,€105.18m
13,RC Lens,36,25.3,19,€2.90m,€104.30m
14,FC Metz,35,25.0,25,€2.96m,€103.50m
15,Stade Brestois 29,32,25.7,10,€3.23m,€103.23m
16,FC Nantes,32,25.9,17,€2.96m,€94.75m
17,FC Lorient,34,26.8,15,€2.14m,€72.88m
18,Dijon FCO,37,24.9,24,€1.77m,€65.63m
19,Nîmes Olympique,36,25.3,20,€1.68m,€60.40m
