,team,player_count,mean_age,foreigner_count,mean_player_market_value,total_market_value
0,Manchester City,39,24.7,23,€25.74m,€1.00bn
1,Liverpool FC,49,24.5,29,€18.75m,€918.90m
2,Chelsea FC,44,25.6,25,€20.78m,€914.50m
3,Manchester United,43,26.0,28,€17.89m,€769.15m
4,Tottenham Hotspur,45,24.0,26,€15.32m,€689.35m
5,Arsenal FC,41,24.0,24,€14.95m,€613.05m
6,Leicester City,40,25.7,26,€13.16m,€526.55m
7,Aston Villa,44,24.8,21,€11.09m,€487.75m
8,Everton FC,42,26.0,24,€11.41m,€479.05m
9,Wolverhampton Wanderers,38,24.8,30,€9.92m,€376.95m
10,West Ham United,37,26.3,20,€9.59m,€354.90m
11,Brighton &amp; Hove Albion,43,24.6,31,€7.40m,€318.00m
12,Newcastle United,34,27.9,19,€9.23m,€313.90m
13,Leeds United,35,24.0,20,€8.56m,€299.45m
14,Southampton FC,33,25.6,19,€8.31m,€274.30m
15,Brentford FC,38,24.7,27,€7.19m,€273.30m
16,Crystal Palace,33,26.5,16,€8.21m,€271.05m
17,Norwich City,45,24.7,29,€3.63m,€163.20m
18,Watford FC,47,26.4,35,€3.32m,€156.20m
19,Burnley FC,35,27.9,16,€3.94m,€137.85m
