,team,player_count,mean_age,foreigner_count,mean_player_market_value,total_market_value
0,Inter Milan,35,27.1,23,€18.71m,€654.85m
1,AC Milan,42,24.6,26,€13.61m,€571.41m
2,SSC Napoli,35,26.5,22,€14.71m,€515.00m
3,Juventus FC,39,25.2,19,€12.94m,€504.53m
4,Atalanta BC,42,25.2,21,€10.38m,€436.05m
5,Bologna FC 1909,37,25.1,26,€9.44m,€349.30m
6,AS Roma,41,25.2,24,€8.30m,€340.40m
7,ACF Fiorentina,41,25.7,21,€6.93m,€284.10m
8,Torino FC,45,24.3,33,€5.17m,€232.73m
9,SS Lazio,37,26.4,20,€6.09m,€225.45m
10,Genoa CFC,44,25.9,29,€4.44m,€195.40m
11,Udinese Calcio,45,24.7,36,€3.78m,€170.06m
12,AC Monza,39,26.6,13,€3.68m,€143.43m
13,Hellas Verona,50,25.1,32,€2.81m,€140.70m
14,US Sassuolo,38,25.5,21,€3.67m,€139.54m
15,Frosinone Calcio,48,24.9,26,€2.26m,€108.40m
16,US Lecce,39,24.6,30,€2.76m,€107.73m
17,FC Empoli,47,25.3,20,€2.18m,€102.33m
18,US Salernitana 1919,50,25.6,31,€1.89m,€94.60m
19,Cagliari Calcio,38,27.0,19,€2.43m,€92.23m
