,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025
0,Manchester City ,Manchester City ,Manchester City ,Manchester City ,Manchester City 
1,Liverpool FC ,Liverpool FC ,Arsenal FC ,Arsenal FC ,Arsenal FC 
2,Chelsea FC ,Chelsea FC ,Chelsea FC ,Chelsea FC ,Liverpool FC 
3,Manchester United ,Manchester United ,Manchester United ,Liverpool FC ,Chelsea FC 
4,Tottenham Hotspur ,Tottenham Hotspur ,Liverpool FC ,Tottenham Hotspur ,Tottenham Hotspur 
5,Arsenal FC ,Arsenal FC ,Tottenham Hotspur ,Manchester United ,Manchester United 
6,Everton FC ,Leicester City ,Newcastle United ,Aston Villa ,Aston Villa 
7,Leicester City ,Aston Villa ,Brighton & Hove Albion ,Newcastle United ,Newcastle United 
8,Wolverhampton Wanderers ,Everton FC ,Aston Villa ,Brighton & Hove Albion ,Brighton & Hove Albion 
9,Aston Villa ,Wolverhampton Wanderers ,Wolverhampton Wanderers ,Nottingham Forest ,West Ham United 
10,West Ham United ,West Ham United ,Leicester City ,West Ham United ,Crystal Palace 
11,Brighton & Hove Albion ,Brighton & Hove Albion ,West Ham United ,Crystal Palace ,Brentford FC 
12,Southampton FC ,Newcastle United ,Southampton FC ,Wolverhampton Wanderers ,Nottingham Forest 
13,Newcastle United ,Leeds United ,Everton FC ,Brentford FC ,Wolverhampton Wanderers 
14,Fulham FC  ,Southampton FC ,Nottingham Forest  ,AFC Bournemouth ,AFC Bournemouth 
15,Leeds United  ,Brentford FC  ,Brentford FC ,Everton FC ,Everton FC 
16,Crystal Palace ,Crystal Palace ,Leeds United ,Fulham FC ,Fulham FC 
17,Sheffield United ,Norwich City ,Crystal Palace ,Burnley FC  ,Leicester City  
18,West Bromwich Albion  ,Watford FC  ,Fulham FC  ,Sheffield United  ,Southampton FC  
19,Burnley FC ,Burnley FC ,AFC Bournemouth  ,Luton Town  ,Ipswich Town  
