Siralama,Onceki_Siralama,Ulke,Toplam,Sampiyonlar_Ligi,Avrupa_Ligi,Konferans_Ligi,Devam_Edenler,20_21,21_22,22_23,23_24,24_25,Toplam_Puan
1,1,İngiltere,7,4,2,1,6,24357,21000,23000,17375,20892,106624
2,2,İtalya,8,5,2,1,4,16285,15714,22357,21000,18187,93543
3,3,İspanya,7,4,2,1,6,19500,18428,16571,16062,19035,89596
4,4,Almanya,8,5,2,1,4,15214,16214,17125,19357,16046,83956
5,5,Fransa,6,3,2,1,3,7916,18416,12583,16250,14857,70022
6,6,Hollanda,6,3,2,1,4,9200,19200,13500,10000,14750,66650
7,7,Portekiz,5,2,2,1,2,9600,12916,12500,11000,16050,62066
8,8,Belçika,5,2,2,1,2,6000,6600,14200,14400,15250,56450
9,10,Çek Cumhuriyeti,5,2,1,2,1,6600,6700,6750,13500,10350,43900
10,9,Türkiye,5,2,2,1,1,3100,6700,11800,12000,9900,43500
11,15,Yunanistan,4,1,2,1,2,5100,8000,2125,11400,11687,38312
12,14,Norveç,4,1,1,2,2,6500,7625,5750,8000,9812,37687
13,13,Avusturya,5,2,2,1,1,6700,10400,4900,4800,8550,35350
14,10,İskoçya,5,2,2,1,1,8500,7900,3500,6400,8450,34750
15,16,Danimarka,4,1,1,2,1,4125,7800,5900,8500,7656,33981
16,12,İsviçre,6,2,1,3,1,5125,7750,8500,5200,6650,33225
17,21,Polonya,5,1,1,3,2,4000,4625,7750,6875,9750,33000
18,17,İsrail,4,1,1,2,-,7000,6750,6250,8750,2875,31625
19,23,Kıbrıs,5,1,1,3,1,4000,4125,5100,3750,10062,27037
20,20,Hırvatistan,4,1,1,2,-,5900,6000,3375,5875,5875,27025
21,25,İsveç,4,1,1,2,1,2500,5125,6250,1875,10125,25875
22,19,Sırbistan,6,2,2,2,-,5500,9500,5375,1400,3725,25500
23,18,Ukrayna,5,2,1,2,-,6800,4200,5700,4100,3600,24400
24,24,Macaristan,4,1,1,2,-,4250,2750,5875,4500,6625,24000
25,26,Romanya,4,1,1,2,1,3750,2250,6250,3250,7750,23250
